entity_code,period,gl_account,amount
003,03-2026,4000,144921.16
003,03-2026,4001,196485.74
003,03-2026,4002,137131.87
003,03-2026,4003,315595.42
003,03-2026,4004,327765.44
003,03-2026,4005,213989.25
003,03-2026,4006,318089.18
003,03-2026,4100,37251.25
003,03-2026,4101,52028.26
003,03-2026,4102,31014.04
003,03-2026,4103,41700.16
003,03-2026,4104,35512.91
003,03-2026,4105,41099.63
003,03-2026,4300,15060.39
003,03-2026,4301,17621.86
003,03-2026,4302,16395.97
003,03-2026,4303,16749.07
003,03-2026,4400,5240.36
003,03-2026,4401,9796.23
003,03-2026,4402,9436.48
003,03-2026,4403,7492.28
003,03-2026,5000,59985.25
003,03-2026,5001,55801.97
003,03-2026,5002,36829.52
003,03-2026,5003,36520.81
003,03-2026,5004,58501.28
003,03-2026,5005,50933.15
003,03-2026,5100,18781.28
003,03-2026,5101,12078.9
003,03-2026,5102,26923.11
003,03-2026,5103,23030.85
003,03-2026,5104,23905.37
003,03-2026,5105,24680.42
003,03-2026,5200,11176.83
003,03-2026,5201,15166.7
003,03-2026,5202,12690.25
003,03-2026,5203,16816.57
003,03-2026,5204,14158.95
003,03-2026,5300,14310.53
003,03-2026,5301,18071.5
003,03-2026,5302,19069.29
003,03-2026,5303,19808.8
003,03-2026,5304,16692.46
003,03-2026,5400,3940.37
003,03-2026,5401,4295.61
003,03-2026,5402,3958.51
003,03-2026,5403,3727.5
003,03-2026,5404,6770.24
003,03-2026,5700,4732.33
003,03-2026,5701,9817.17
003,03-2026,5702,6742.84
003,03-2026,5703,6428.3
003,03-2026,6000,16248.63
003,03-2026,6001,10725.14
003,03-2026,6002,15764.58
003,03-2026,6003,11395.63
003,03-2026,6004,16241.09
003,03-2026,6005,20865.41
003,03-2026,6006,19337.09
003,03-2026,6007,15919.65
003,03-2026,6008,19404.83
003,03-2026,6009,11945.13
003,03-2026,6100,13073.12
003,03-2026,6101,19609.09
003,03-2026,6102,16563.24
003,03-2026,6103,13149.56
003,03-2026,6104,16510.55
003,03-2026,6105,12246.29
003,03-2026,6106,24109.51
003,03-2026,6107,21038.63
003,03-2026,6200,16082.45
003,03-2026,6201,16098.29
003,03-2026,6202,14448.65
003,03-2026,6203,9356.44
003,03-2026,6204,13958.25
003,03-2026,6205,11073.91
003,03-2026,6206,7951.0
003,03-2026,6207,13111.4
003,03-2026,6300,20652.22
003,03-2026,6301,22213.34
003,03-2026,6302,21330.24
003,03-2026,6303,14447.2
003,03-2026,6304,17644.62
003,03-2026,6400,10145.35
003,03-2026,6401,9702.59
003,03-2026,6402,4755.42
003,03-2026,6403,10116.84
003,03-2026,6404,6931.55
003,03-2026,6500,7006.71
003,03-2026,6501,6920.87
003,03-2026,6502,10718.54
003,03-2026,6503,9315.3
003,03-2026,6504,4568.6
003,03-2026,6600,9000.07
003,03-2026,6601,8774.89
003,03-2026,6602,12530.3
003,03-2026,7000,29430.92
003,03-2026,7001,12992.55
003,03-2026,7002,18252.38
003,03-2026,7100,19218.47
003,03-2026,7101,41895.0
003,03-2026,7200,13158.92
003,03-2026,7201,7740.47
003,03-2026,7202,9831.94
003,03-2026,7300,8664.91
003,03-2026,7301,11560.61
003,03-2026,7400,13400.78
003,03-2026,7401,12125.77
003,03-2026,7402,15761.22
003,03-2026,7500,43871.25
003,03-2026,7501,20601.05
003,03-2026,7502,21829.11
003,03-2026,7503,35663.27
003,03-2026,7600,15404.01
003,03-2026,7601,14706.47
