entity_code,period,date,gl_account,vendor,description,department,amount
003,03-2026,2026-03-01,5103,CleanPro Contract Services,Invoice — Rooms Division Contract Cleaning,Rooms,11605.02
003,03-2026,2026-03-01,6401,CloudHost Nordic,Systems & telecom invoice — IT Support Contract,IT,9480.97
003,03-2026,2026-03-02,5403,TableSet Supply Co,Invoice — F&B Other Operating Expense,F&B,1943.02
003,03-2026,2026-03-02,6002,Office Plus Nordic,Professional services invoice — Professional Fees – Legal,Administrative,5274.09
003,03-2026,2026-03-02,6003,Office Plus Nordic,Professional services invoice — Professional Fees – Audit,Administrative,3812.44
003,03-2026,2026-03-02,6005,Office Plus Nordic,Professional services invoice — Bad Debt Expense,Administrative,10470.88
003,03-2026,2026-03-02,6300,Stockholm Energi AB,Monthly utility invoice — Electricity,Property Operations,10491.83
003,03-2026,2026-03-02,6301,City Water Utility,Monthly utility invoice — District Heating,Property Operations,7523.27
003,03-2026,2026-03-02,6304,City Water Utility,Monthly utility invoice — Fuel Oil / Backup Generator Fuel,Property Operations,17927.79
003,03-2026,2026-03-02,6500,SkillUp Training Institute,HR services invoice — Recruitment Costs,HR,2372.59
003,03-2026,2026-03-03,5000,Internal Payroll,Payroll run — Front Office Salaries,Rooms,59692.24
003,03-2026,2026-03-03,5101,GuestSupply Nordic AB,Invoice — Linen & Laundry,Rooms,6086.44
003,03-2026,2026-03-03,6300,City Water Utility,Monthly utility invoice — Electricity,Property Operations,10491.83
003,03-2026,2026-03-03,6501,Nordic Recruitment Partners,HR services invoice — Staff Training & Development,HR,2343.52
003,03-2026,2026-03-03,7301,Municipal Tax Authority,Property tax / license fee — Business Licenses & Permits,Fixed Charges,3820.14
003,03-2026,2026-03-04,5102,Nordic Linen Services,Invoice — Reservation & Distribution Costs,Rooms,9044.2
003,03-2026,2026-03-04,6103,Nordic PR Partners,Marketing services invoice — Public Relations,Sales & Marketing,13285.99
003,03-2026,2026-03-04,6602,SecureNordic Services,Security services contract — CCTV Maintenance,Security,12428.41
