entity_code,period,gl_account,amount
004,03-2026,4000,310734.71
004,03-2026,4001,421297.63
004,03-2026,4002,294033.19
004,03-2026,4003,676688.29
004,03-2026,4004,702782.83
004,03-2026,4005,458828.02
004,03-2026,4006,682035.34
004,03-2026,4100,249149.09
004,03-2026,4101,347982.73
004,03-2026,4102,207432.48
004,03-2026,4103,278904.89
004,03-2026,4104,237522.46
004,03-2026,4105,274888.34
004,03-2026,4200,86514.8
004,03-2026,4201,86362.89
004,03-2026,4202,51590.47
004,03-2026,4203,59243.83
004,03-2026,4300,40568.42
004,03-2026,4301,47468.27
004,03-2026,4302,44166.08
004,03-2026,4303,45117.23
004,03-2026,4400,11627.85
004,03-2026,4401,21736.88
004,03-2026,4402,20938.63
004,03-2026,4403,16624.64
004,03-2026,5000,128249.5
004,03-2026,5001,119305.57
004,03-2026,5002,78742.14
004,03-2026,5003,78082.12
004,03-2026,5004,125076.74
004,03-2026,5005,108895.94
004,03-2026,5100,41178.34
004,03-2026,5101,26483.23
004,03-2026,5102,59029.47
004,03-2026,5103,50495.61
004,03-2026,5104,52413.02
004,03-2026,5105,54112.34
004,03-2026,5200,76433.63
004,03-2026,5201,103718.66
004,03-2026,5202,86783.23
004,03-2026,5203,115001.42
004,03-2026,5204,96827.06
004,03-2026,5300,90881.5
004,03-2026,5301,114766.17
004,03-2026,5302,121102.8
004,03-2026,5303,125799.21
004,03-2026,5304,106008.33
004,03-2026,5400,27711.46
004,03-2026,5401,30209.82
004,03-2026,5402,27839.09
004,03-2026,5403,26214.46
004,03-2026,5404,47613.17
004,03-2026,5500,22250.84
004,03-2026,5501,29705.1
004,03-2026,5502,33157.65
004,03-2026,5600,16754.67
004,03-2026,5601,10623.55
004,03-2026,5602,15178.58
004,03-2026,5700,12108.47
004,03-2026,5701,25118.91
004,03-2026,5702,17252.71
004,03-2026,5703,16447.9
004,03-2026,6000,46728.04
004,03-2026,6001,30843.52
004,03-2026,6002,45336.02
004,03-2026,6003,32771.71
004,03-2026,6004,46706.36
004,03-2026,6005,60005.06
004,03-2026,6006,55609.88
004,03-2026,6007,45781.95
004,03-2026,6008,55804.68
004,03-2026,6009,34351.98
004,03-2026,6100,38096.86
004,03-2026,6101,57143.57
004,03-2026,6102,48267.54
004,03-2026,6103,38319.61
004,03-2026,6104,48113.99
004,03-2026,6105,35687.38
004,03-2026,6106,70258.4
004,03-2026,6107,61309.45
004,03-2026,6200,44697.96
004,03-2026,6201,44741.97
004,03-2026,6202,40157.12
004,03-2026,6203,26004.36
004,03-2026,6204,38794.16
004,03-2026,6205,30777.71
004,03-2026,6206,22098.21
004,03-2026,6207,36440.51
004,03-2026,6300,60851.88
004,03-2026,6301,65451.73
004,03-2026,6302,62849.66
004,03-2026,6303,42568.75
004,03-2026,6304,51989.97
004,03-2026,6400,27642.14
004,03-2026,6401,26435.78
004,03-2026,6402,12956.67
004,03-2026,6403,27564.45
004,03-2026,6404,18885.77
004,03-2026,6500,20637.28
004,03-2026,6501,20384.46
004,03-2026,6502,31569.96
004,03-2026,6503,27436.93
004,03-2026,6504,13456.17
004,03-2026,6600,25277.08
004,03-2026,6601,24644.65
004,03-2026,6602,35191.87
004,03-2026,7000,82568.98
004,03-2026,7001,36450.84
004,03-2026,7002,51207.38
004,03-2026,7100,53531.67
004,03-2026,7101,116695.53
004,03-2026,7200,36444.99
004,03-2026,7201,21438.04
004,03-2026,7202,27230.57
004,03-2026,7300,24309.27
004,03-2026,7301,32433.13
004,03-2026,7400,36833.79
004,03-2026,7401,33329.25
004,03-2026,7402,43321.76
004,03-2026,7500,122463.0
004,03-2026,7501,57506.14
004,03-2026,7502,60934.17
004,03-2026,7503,99551.09
004,03-2026,7600,43542.67
004,03-2026,7601,41570.93
