entity_code,period,gl_account,amount
002,03-2026,4000,247197.24
002,03-2026,4001,335152.81
002,03-2026,4002,233910.77
002,03-2026,4003,538322.48
002,03-2026,4004,559081.34
002,03-2026,4005,365009.18
002,03-2026,4006,542576.19
002,03-2026,4100,198204.34
002,03-2026,4101,276828.98
002,03-2026,4102,165017.73
002,03-2026,4103,221875.83
002,03-2026,4104,188955.07
002,03-2026,4105,218680.56
002,03-2026,4200,68824.69
002,03-2026,4201,68703.84
002,03-2026,4202,41041.51
002,03-2026,4203,47129.95
002,03-2026,4300,32273.2
002,03-2026,4301,37762.2
002,03-2026,4302,35135.22
002,03-2026,4303,35891.88
002,03-2026,4400,9250.24
002,03-2026,4401,17292.23
002,03-2026,4402,16657.2
002,03-2026,4403,13225.32
002,03-2026,5000,102025.69
002,03-2026,5001,94910.57
002,03-2026,5002,62641.34
002,03-2026,5003,62116.28
002,03-2026,5004,99501.68
002,03-2026,5005,86629.45
002,03-2026,5100,32758.4
002,03-2026,5101,21068.07
002,03-2026,5102,46959.42
002,03-2026,5103,40170.52
002,03-2026,5104,41695.87
002,03-2026,5105,43047.72
002,03-2026,5200,60804.87
002,03-2026,5201,82510.79
002,03-2026,5202,69038.23
002,03-2026,5203,91486.51
002,03-2026,5204,77028.35
002,03-2026,5300,72298.51
002,03-2026,5301,91299.36
002,03-2026,5302,96340.31
002,03-2026,5303,100076.42
002,03-2026,5304,84332.28
002,03-2026,5400,22045.16
002,03-2026,5401,24032.67
002,03-2026,5402,22146.69
002,03-2026,5403,20854.26
002,03-2026,5404,37877.47
002,03-2026,5500,17701.1
002,03-2026,5501,23631.15
002,03-2026,5502,26377.74
002,03-2026,5600,13328.76
002,03-2026,5601,8451.3
002,03-2026,5602,12074.94
002,03-2026,5700,9632.59
002,03-2026,5701,19982.72
002,03-2026,5702,13724.97
002,03-2026,5703,13084.72
002,03-2026,6000,37173.32
002,03-2026,6001,24536.79
002,03-2026,6002,36065.94
002,03-2026,6003,26070.72
002,03-2026,6004,37156.08
002,03-2026,6005,47735.53
002,03-2026,6006,44239.05
002,03-2026,6007,36420.69
002,03-2026,6008,44394.02
002,03-2026,6009,27327.86
002,03-2026,6100,30307.0
002,03-2026,6101,45459.14
002,03-2026,6102,38398.04
002,03-2026,6103,30484.21
002,03-2026,6104,38275.89
002,03-2026,6105,28390.2
002,03-2026,6106,55892.32
002,03-2026,6107,48773.2
002,03-2026,6200,35558.35
002,03-2026,6201,35593.36
002,03-2026,6202,31946.0
002,03-2026,6203,20687.12
002,03-2026,6204,30861.73
002,03-2026,6205,24484.44
002,03-2026,6206,17579.68
002,03-2026,6207,28989.34
002,03-2026,6300,48409.19
002,03-2026,6301,52068.49
002,03-2026,6302,49998.48
002,03-2026,6303,33864.51
002,03-2026,6304,41359.33
002,03-2026,6400,21990.01
002,03-2026,6401,21030.33
002,03-2026,6402,10307.35
002,03-2026,6403,21928.21
002,03-2026,6404,15024.1
002,03-2026,6500,16417.47
002,03-2026,6501,16216.35
002,03-2026,6502,25114.69
002,03-2026,6503,21826.76
002,03-2026,6504,10704.72
002,03-2026,6600,20108.55
002,03-2026,6601,19605.44
002,03-2026,6602,27996.01
002,03-2026,7000,65685.69
002,03-2026,7001,28997.56
002,03-2026,7002,40736.75
002,03-2026,7100,42585.79
002,03-2026,7101,92834.21
002,03-2026,7200,28992.9
002,03-2026,7201,17054.5
002,03-2026,7202,21662.6
002,03-2026,7300,19338.63
002,03-2026,7301,25801.37
002,03-2026,7400,29302.2
002,03-2026,7401,26514.26
002,03-2026,7402,34463.54
002,03-2026,7500,97422.38
002,03-2026,7501,45747.57
002,03-2026,7502,48474.66
002,03-2026,7503,79195.38
002,03-2026,7600,34639.29
002,03-2026,7601,33070.71
