entity_code,period,date,gl_account,vendor,description,department,amount
002,03-2026,2026-03-01,5104,Reservation Systems Partners,Invoice — Rooms Division Other Operating Expense,Rooms,21009.25
002,03-2026,2026-03-01,5104,GuestSupply Nordic AB,Invoice — Rooms Division Other Operating Expense,Rooms,21009.25
002,03-2026,2026-03-01,5201,Baltic Beverage Supply,Food & beverage supply delivery — Beverage Cost of Sales,F&B,26541.42
002,03-2026,2026-03-01,5301,Internal Payroll,Payroll run — Restaurant & Bar Salaries,F&B,90127.08
002,03-2026,2026-03-01,5401,TableSet Supply Co,Invoice — F&B Operating Supplies,F&B,11726.09
002,03-2026,2026-03-01,6100,Internal Payroll,Payroll run — Sales Team Salaries,Sales & Marketing,29484.52
002,03-2026,2026-03-01,6302,Nordic District Heating,Monthly utility invoice — Water & Sewer,Property Operations,24718.46
002,03-2026,2026-03-02,5100,CleanPro Contract Services,Invoice — Guest Supplies,Rooms,11003.96
002,03-2026,2026-03-02,5700,ParkTech Systems,Invoice — Parking Operating Expense,Other Operated,9544.09
002,03-2026,2026-03-02,6107,Scandinavian Media Group,Marketing services invoice — Website & Photography,Sales & Marketing,15816.52
002,03-2026,2026-03-02,6202,Nordic Facilities Services,Maintenance contract charge — Grounds & Landscaping,Property Operations,15970.52
002,03-2026,2026-03-02,6503,Nordic Recruitment Partners,HR services invoice — HR Administration,HR,7137.63
002,03-2026,2026-03-02,7100,Group Brand Licensing Corp,Brand franchise fee accrual — Brand Franchise Fee,Fixed Charges,20590.05
002,03-2026,2026-03-02,7401,Property Holdings Lease Co,Lease payment — Equipment Lease,Fixed Charges,8736.69
002,03-2026,2026-03-03,5302,Internal Payroll,Payroll run — Banquet Service Salaries,F&B,95103.31
002,03-2026,2026-03-03,6003,Office Plus Nordic,Professional services invoice — Professional Fees – Audit,Administrative,12819.85
002,03-2026,2026-03-03,6300,Nordic District Heating,Monthly utility invoice — Electricity,Property Operations,15955.16
002,03-2026,2026-03-03,6301,Oslo Energi AS,Monthly utility invoice — District Heating,Property Operations,17161.22
002,03-2026,2026-03-04,5101,GuestSupply Nordic AB,Invoice — Linen & Laundry,Rooms,10615.55
002,03-2026,2026-03-04,5601,Spa Retail Distributors,Invoice — Spa Retail Cost of Sales,Spa & Wellness,2758.95
002,03-2026,2026-03-04,5701,Business Services Nordic,Invoice — Business Center Operating Expense,Other Operated,19799.12
002,03-2026,2026-03-04,5703,Business Services Nordic,Invoice — Gift Shop Cost of Sales,Other Operated,4321.5
002,03-2026,2026-03-04,6002,Nordheim Legal Partners,Professional services invoice — Professional Fees – Legal,Administrative,11823.23
002,03-2026,2026-03-04,6007,Nordheim Legal Partners,Professional services invoice — General Admin Other,Administrative,35818.57
002,03-2026,2026-03-04,6602,SecureNordic Services,Security services contract — CCTV Maintenance,Security,9278.21
002,03-2026,2026-03-04,7202,Nordic Property Insurers,Insurance premium — Business Interruption Insurance,Fixed Charges,7040.4
002,03-2026,2026-03-04,7402,Property Holdings Lease Co,Lease payment — Vehicle Lease,Fixed Charges,17034.08
002,03-2026,2026-03-05,5101,Nordic Linen Services,Invoice — Linen & Laundry,Rooms,10615.54
002,03-2026,2026-03-05,6201,ElevateTech Elevator Co,Maintenance contract charge — Building Repairs & Maintenance,Property Operations,17793.92
002,03-2026,2026-03-05,7202,Nordic Property Insurers,Insurance premium — Business Interruption Insurance,Fixed Charges,7040.4
002,03-2026,2026-03-06,5202,Urban Produce Co,Food & beverage supply delivery — Banquet Cost of Sales,F&B,22207.68
002,03-2026,2026-03-06,5501,Internal Payroll,Payroll run — Spa Reception Salaries,Spa & Wellness,24081.04
002,03-2026,2026-03-06,6004,Baltic Audit & Assurance,Professional services invoice — Bank Charges & Merchant Fees,Administrative,12180.6
002,03-2026,2026-03-06,6103,Scandinavian Media Group,Marketing services invoice — Public Relations,Sales & Marketing,9885.64
002,03-2026,2026-03-06,6105,Nordic PR Partners,Marketing services invoice — Sales & Marketing Travel,Sales & Marketing,9206.58
002,03-2026,2026-03-06,6206,CoolFlow HVAC Services,Maintenance contract charge — HVAC Service Contracts,Property Operations,17576.95
002,03-2026,2026-03-06,6304,Bergen Kraft AS,Monthly utility invoice — Fuel Oil / Backup Generator Fuel,Property Operations,20447.4
002,03-2026,2026-03-07,5103,Reservation Systems Partners,Invoice — Rooms Division Contract Cleaning,Rooms,13493.79
002,03-2026,2026-03-07,5103,CleanPro Contract Services,Invoice — Rooms Division Contract Cleaning,Rooms,13493.78
002,03-2026,2026-03-07,6106,Scandinavian Media Group,Marketing services invoice — Trade Show & Sponsorship Costs,Sales & Marketing,18125.16
002,03-2026,2026-03-07,6207,CoolFlow HVAC Services,Maintenance contract charge — Pest Control,Property Operations,14492.43
002,03-2026,2026-03-07,6303,Bergen Kraft AS,Monthly utility invoice — Waste & Recycling,Property Operations,33484.15
002,03-2026,2026-03-08,6000,Internal Payroll,Payroll run — Executive Office Salaries,Administrative,36558.76
002,03-2026,2026-03-08,6400,TeleNordic Communications,Systems & telecom invoice — PMS & POS System Fees,IT,21847.88
002,03-2026,2026-03-08,6503,SkillUp Training Institute,HR services invoice — HR Administration,HR,7137.64
002,03-2026,2026-03-09,5201,Nordic Food Distributors AS,Food & beverage supply delivery — Beverage Cost of Sales,F&B,26541.42
002,03-2026,2026-03-09,5201,Urban Produce Co,Food & beverage supply delivery — Beverage Cost of Sales,F&B,26541.43
002,03-2026,2026-03-09,6003,Office Plus Nordic,Professional services invoice — Professional Fees – Audit,Administrative,12819.86
002,03-2026,2026-03-09,6006,Nordic Payments Processing,Professional services invoice — Office Supplies & Postage,Administrative,21753.84
002,03-2026,2026-03-09,6301,City Water Utility,Monthly utility invoice — District Heating,Property Operations,17161.23
002,03-2026,2026-03-09,7202,Nordic Property Insurers,Insurance premium — Business Interruption Insurance,Fixed Charges,7040.4
002,03-2026,2026-03-10,5702,ParkTech Systems,Invoice — Laundry & Valet Operating Expense,Other Operated,4532.96
002,03-2026,2026-03-10,6006,Office Plus Nordic,Professional services invoice — Office Supplies & Postage,Administrative,21753.84
002,03-2026,2026-03-10,6106,Nordic PR Partners,Marketing services invoice — Trade Show & Sponsorship Costs,Sales & Marketing,18125.16
002,03-2026,2026-03-10,6205,CoolFlow HVAC Services,"Maintenance contract charge — Furniture, Fixtures & Equipment Repairs",Property Operations,8160.21
002,03-2026,2026-03-10,6207,GreenScape Landscaping,Maintenance contract charge — Pest Control,Property Operations,14492.42
002,03-2026,2026-03-10,6602,SecureNordic Services,Security services contract — CCTV Maintenance,Security,9278.2
002,03-2026,2026-03-11,5003,Internal Payroll,Payroll run — Rooms Division Payroll Tax & Benefits,Rooms,59365.82
002,03-2026,2026-03-11,5703,Business Services Nordic,Invoice — Gift Shop Cost of Sales,Other Operated,4321.5
002,03-2026,2026-03-11,6203,Nordic Facilities Services,Maintenance contract charge — Elevator & Life Safety Contracts,Property Operations,10341.96
002,03-2026,2026-03-11,6404,CloudHost Nordic,Systems & telecom invoice — Guest Wi-Fi Infrastructure,IT,7463.5
002,03-2026,2026-03-11,6504,Nordic Recruitment Partners,HR services invoice — Staff Meals,HR,5250.88
002,03-2026,2026-03-12,5002,Internal Payroll,Payroll run — Rooms Division Overtime,Rooms,59867.63
002,03-2026,2026-03-12,6005,Nordic Payments Processing,Professional services invoice — Bad Debt Expense,Administrative,23473.17
002,03-2026,2026-03-12,6103,Nordic Print & Signage,Marketing services invoice — Public Relations,Sales & Marketing,9885.64
002,03-2026,2026-03-12,6105,Nordic Print & Signage,Marketing services invoice — Sales & Marketing Travel,Sales & Marketing,9206.57
002,03-2026,2026-03-12,6301,Nordic District Heating,Monthly utility invoice — District Heating,Property Operations,17161.23
002,03-2026,2026-03-13,5000,Internal Payroll,Payroll run — Front Office Salaries,Rooms,97508.07
002,03-2026,2026-03-13,6001,Internal Payroll,Payroll run — Finance & Accounting Salaries,Administrative,24131.15
002,03-2026,2026-03-13,6504,Nordic Recruitment Partners,HR services invoice — Staff Meals,HR,5250.87
002,03-2026,2026-03-13,7101,Group Brand Licensing Corp,Brand franchise fee accrual — Brand Marketing Assessment Fee,Fixed Charges,29923.31
