entity_code,period,date,gl_account,vendor,description,department,amount
004,01-2026,2026-01-01,5101,Reservation Systems Partners,Invoice — Linen & Laundry,Rooms,24803.28
004,01-2026,2026-01-01,5204,Urban Produce Co,Food & beverage supply delivery — F&B Waste & Spoilage,F&B,29837.55
004,01-2026,2026-01-01,5501,Internal Payroll,Payroll run — Spa Reception Salaries,Spa & Wellness,29501.99
004,01-2026,2026-01-01,6402,CloudHost Nordic,Systems & telecom invoice — Telecom & Internet,IT,4081.19
004,01-2026,2026-01-01,6500,SkillUp Training Institute,HR services invoice — Recruitment Costs,HR,9681.18
004,01-2026,2026-01-01,7000,Group Management Services,Management fee accrual — Base Management Fee,Fixed Charges,79300.85
004,01-2026,2026-01-01,7400,Property Holdings Lease Co,Lease payment — Land Lease,Fixed Charges,33634.59
004,01-2026,2026-01-02,5005,Internal Payroll,Payroll run — Rooms Division Temporary Labor,Rooms,101128.62
004,01-2026,2026-01-02,5104,Nordic Linen Services,Invoice — Rooms Division Other Operating Expense,Rooms,49088.23
004,01-2026,2026-01-02,5200,Urban Produce Co,Food & beverage supply delivery — Food Cost of Sales,F&B,70659.78
004,01-2026,2026-01-02,6102,Nordic Print & Signage,Marketing services invoice — Digital Marketing & OTA Commission,Sales & Marketing,15136.1
004,01-2026,2026-01-02,6106,Nordic PR Partners,Marketing services invoice — Trade Show & Sponsorship Costs,Sales & Marketing,33048.24
004,01-2026,2026-01-02,6203,Nordic Facilities Services,Maintenance contract charge — Elevator & Life Safety Contracts,Property Operations,12337.87
004,01-2026,2026-01-02,7300,Municipal Tax Authority,Property tax / license fee — Municipal Property Tax,Fixed Charges,22856.07
004,01-2026,2026-01-03,5003,Internal Payroll,Payroll run — Rooms Division Payroll Tax & Benefits,Rooms,72512.69
004,01-2026,2026-01-03,5004,Internal Payroll,Payroll run — Concierge & Guest Services Salaries,Rooms,116155.28
004,01-2026,2026-01-03,5100,CleanPro Contract Services,Invoice — Guest Supplies,Rooms,19283.11
004,01-2026,2026-01-03,5102,CleanPro Contract Services,Invoice — Reservation & Distribution Costs,Rooms,27642.49
004,01-2026,2026-01-03,5401,Nordic Uniform & Linen,Invoice — F&B Operating Supplies,F&B,13885.31
004,01-2026,2026-01-03,6008,Baltic Audit & Assurance,Professional services invoice — IT & Admin Travel,Administrative,31365.14
004,01-2026,2026-01-03,6008,Nordheim Legal Partners,Professional services invoice — IT & Admin Travel,Administrative,31365.14
004,01-2026,2026-01-03,6303,City Water Utility,Monthly utility invoice — Waste & Recycling,Property Operations,14229.32
004,01-2026,2026-01-03,6504,SkillUp Training Institute,HR services invoice — Staff Meals,HR,6312.43
004,01-2026,2026-01-03,7401,Property Holdings Lease Co,Lease payment — Equipment Lease,Fixed Charges,15217.22
004,01-2026,2026-01-04,5502,Internal Payroll,Payroll run — Spa Payroll Tax & Benefits,Spa & Wellness,32930.93
004,01-2026,2026-01-04,6204,ElevateTech Elevator Co,Maintenance contract charge — Maintenance Supplies,Property Operations,12270.69
004,01-2026,2026-01-04,6501,SkillUp Training Institute,HR services invoice — Staff Training & Development,HR,6375.04
004,01-2026,2026-01-04,6504,Nordic Recruitment Partners,HR services invoice — Staff Meals,HR,6312.44
004,01-2026,2026-01-04,7200,Nordic Property Insurers,Insurance premium — Property Insurance,Fixed Charges,139024.14
004,01-2026,2026-01-05,5204,Baltic Beverage Supply,Food & beverage supply delivery — F&B Waste & Spoilage,F&B,29837.56
