entity_code,period,date,gl_account,vendor,description,department,amount
002,02-2026,2026-02-01,5303,Internal Payroll,Payroll run — F&B Payroll Tax & Benefits,F&B,84982.87
002,02-2026,2026-02-01,5601,Wellness Supply Nordic,Invoice — Spa Retail Cost of Sales,Spa & Wellness,7076.45
002,02-2026,2026-02-01,6001,Internal Payroll,Payroll run — Finance & Accounting Salaries,Administrative,21310.51
002,02-2026,2026-02-01,6003,Nordheim Legal Partners,Professional services invoice — Professional Fees – Audit,Administrative,11321.37
002,02-2026,2026-02-01,6106,Nordic Print & Signage,Marketing services invoice — Trade Show & Sponsorship Costs,Sales & Marketing,15650.29
002,02-2026,2026-02-01,6201,GreenScape Landscaping,Maintenance contract charge — Building Repairs & Maintenance,Property Operations,9916.03
002,02-2026,2026-02-01,6301,Nordic District Heating,Monthly utility invoice — District Heating,Property Operations,21506.74
002,02-2026,2026-02-01,6403,CloudHost Nordic,Systems & telecom invoice — Software Licenses,IT,9464.26
002,02-2026,2026-02-01,7201,Nordic Property Insurers,Insurance premium — General Liability Insurance,Fixed Charges,4911.3
002,02-2026,2026-02-02,5101,CleanPro Contract Services,Invoice — Linen & Laundry,Rooms,8827.94
002,02-2026,2026-02-02,6202,Nordic Facilities Services,Maintenance contract charge — Grounds & Landscaping,Property Operations,13349.87
002,02-2026,2026-02-02,6301,City Water Utility,Monthly utility invoice — District Heating,Property Operations,21506.74
002,02-2026,2026-02-02,6401,CloudHost Nordic,Systems & telecom invoice — IT Support Contract,IT,9076.73
002,02-2026,2026-02-02,6500,Nordic Recruitment Partners,HR services invoice — Recruitment Costs,HR,13804.28
002,02-2026,2026-02-02,6502,Nordic Recruitment Partners,HR services invoice — Employee Welfare & Uniforms,HR,21117.14
002,02-2026,2026-02-03,5000,Internal Payroll,Payroll run — Front Office Salaries,Rooms,87594.38
002,02-2026,2026-02-03,5602,Wellness Supply Nordic,Invoice — Spa Equipment Maintenance,Spa & Wellness,3370.2
002,02-2026,2026-02-03,7201,Nordic Property Insurers,Insurance premium — General Liability Insurance,Fixed Charges,4911.3
002,02-2026,2026-02-03,7402,Property Holdings Lease Co,Lease payment — Vehicle Lease,Fixed Charges,14672.91
