entity_code,period,gl_account,amount
001,03-2026,4000,625342.04
001,03-2026,4001,847845.81
001,03-2026,4002,591730.87
001,03-2026,4003,1361810.03
001,03-2026,4004,1414324.31
001,03-2026,4005,923374.32
001,03-2026,4006,1372570.76
001,03-2026,4100,495360.44
001,03-2026,4101,691862.36
001,03-2026,4102,412419.1
001,03-2026,4103,554521.19
001,03-2026,4104,472244.27
001,03-2026,4105,546535.44
001,03-2026,4200,176815.36
001,03-2026,4201,176504.9
001,03-2026,4202,105438.47
001,03-2026,4203,121080.07
001,03-2026,4300,81292.47
001,03-2026,4301,95118.64
001,03-2026,4302,88501.58
001,03-2026,4303,90407.53
001,03-2026,4400,23565.07
001,03-2026,4401,44052.09
001,03-2026,4402,42434.35
001,03-2026,4403,33691.6
001,03-2026,5000,267944.83
001,03-2026,5001,249258.75
001,03-2026,5002,164511.74
001,03-2026,5003,163132.8
001,03-2026,5004,261316.14
001,03-2026,5005,227510.47
001,03-2026,5100,84100.06
001,03-2026,5101,54087.68
001,03-2026,5102,120558.11
001,03-2026,5103,103129.08
001,03-2026,5104,107045.07
001,03-2026,5105,110515.65
001,03-2026,5200,151412.02
001,03-2026,5201,205462.58
001,03-2026,5202,171914.15
001,03-2026,5203,227813.28
001,03-2026,5204,191810.58
001,03-2026,5300,185102.87
001,03-2026,5301,233749.96
001,03-2026,5302,246656.09
001,03-2026,5303,256221.5
001,03-2026,5304,215912.45
001,03-2026,5400,55374.53
001,03-2026,5401,60366.89
001,03-2026,5402,55629.57
001,03-2026,5403,52383.14
001,03-2026,5404,95143.21
001,03-2026,5500,45549.43
001,03-2026,5501,60808.96
001,03-2026,5502,67876.63
001,03-2026,5600,32558.55
001,03-2026,5601,20644.22
001,03-2026,5602,29495.81
001,03-2026,5700,23567.87
001,03-2026,5701,48891.33
001,03-2026,5702,33580.6
001,03-2026,5703,32014.12
001,03-2026,6000,93459.24
001,03-2026,6001,61689.14
001,03-2026,6002,90675.11
001,03-2026,6003,65545.64
001,03-2026,6004,93415.89
001,03-2026,6005,120014.19
001,03-2026,6006,111223.52
001,03-2026,6007,91567.0
001,03-2026,6008,111613.15
001,03-2026,6009,68706.29
001,03-2026,6100,77001.08
001,03-2026,6101,115498.16
001,03-2026,6102,97557.99
001,03-2026,6103,77451.3
001,03-2026,6104,97247.64
001,03-2026,6105,72131.05
001,03-2026,6106,142005.75
001,03-2026,6107,123918.2
001,03-2026,6200,89286.28
001,03-2026,6201,89374.2
001,03-2026,6202,80215.74
001,03-2026,6203,51944.93
001,03-2026,6204,77493.16
001,03-2026,6205,61479.92
001,03-2026,6206,44142.2
001,03-2026,6207,72791.63
001,03-2026,6300,327259.54
001,03-2026,6301,135383.62
001,03-2026,6302,130001.37
001,03-2026,6303,88051.32
001,03-2026,6304,107538.64
001,03-2026,6400,56580.94
001,03-2026,6401,54111.65
001,03-2026,6402,26521.12
001,03-2026,6403,56421.92
001,03-2026,6404,38657.45
001,03-2026,6500,41055.64
001,03-2026,6501,40552.68
001,03-2026,6502,62805.01
001,03-2026,6503,54582.79
001,03-2026,6504,26769.6
001,03-2026,6600,51588.13
001,03-2026,6601,50297.41
001,03-2026,6602,71823.28
001,03-2026,7000,166323.71
001,03-2026,7001,73425.15
001,03-2026,7002,103150.13
001,03-2026,7100,106551.26
001,03-2026,7101,232274.74
001,03-2026,7200,71680.56
001,03-2026,7201,42164.67
001,03-2026,7202,53557.5
001,03-2026,7300,48961.53
001,03-2026,7301,65323.86
001,03-2026,7400,73563.86
001,03-2026,7401,66564.66
001,03-2026,7402,86521.53
001,03-2026,7500,249224.36
001,03-2026,7501,117030.69
001,03-2026,7502,124007.09
001,03-2026,7503,202596.35
001,03-2026,7600,89788.74
001,03-2026,7601,85722.83
