entity_code,period,gl_account,amount
001,01-2026,4000,567145.16
001,01-2026,4001,768941.82
001,01-2026,4002,536661.98
001,01-2026,4003,1235074.44
001,01-2026,4004,1282701.52
001,01-2026,4005,837441.34
001,01-2026,4006,1244833.73
001,01-2026,4100,454740.65
001,01-2026,4101,635129.32
001,01-2026,4102,378600.54
001,01-2026,4103,509050.19
001,01-2026,4104,433520.02
001,01-2026,4105,501719.27
001,01-2026,4200,157904.64
001,01-2026,4201,157627.38
001,01-2026,4202,94161.63
001,01-2026,4203,108130.34
001,01-2026,4300,74044.46
001,01-2026,4301,86637.9
001,01-2026,4302,80610.81
001,01-2026,4303,82346.83
001,01-2026,4400,21222.86
001,01-2026,4401,39673.6
001,01-2026,4402,38216.66
001,01-2026,4403,30342.88
001,01-2026,5000,234077.76
001,01-2026,5001,217753.52
001,01-2026,5002,143718.16
001,01-2026,5003,142513.52
001,01-2026,5004,228286.91
001,01-2026,5005,198754.13
001,01-2026,5100,75157.66
001,01-2026,5101,48336.52
001,01-2026,5102,107739.11
001,01-2026,5103,92163.32
001,01-2026,5104,95662.92
001,01-2026,5105,98764.47
001,01-2026,5200,139504.75
001,01-2026,5201,189304.69
001,01-2026,5202,158394.57
001,01-2026,5203,209897.7
001,01-2026,5204,176726.3
001,01-2026,5300,165874.62
001,01-2026,5301,209468.32
001,01-2026,5302,221033.77
001,01-2026,5303,229605.55
001,01-2026,5304,193483.74
001,01-2026,5400,50578.26
001,01-2026,5401,55138.2
001,01-2026,5402,50811.21
001,01-2026,5403,47845.97
001,01-2026,5404,86902.36
001,01-2026,5500,40611.68
001,01-2026,5501,54217.01
001,01-2026,5502,60518.51
001,01-2026,5600,30580.21
001,01-2026,5601,19389.83
001,01-2026,5602,27703.57
001,01-2026,5700,22100.08
001,01-2026,5701,45846.4
001,01-2026,5702,31489.22
001,01-2026,5703,30020.3
001,01-2026,6000,85286.84
001,01-2026,6001,56294.82
001,01-2026,6002,82746.16
001,01-2026,6003,59814.1
001,01-2026,6004,85247.28
001,01-2026,6005,109519.73
001,01-2026,6006,101497.74
001,01-2026,6007,83560.06
001,01-2026,6008,101853.3
001,01-2026,6009,62698.37
001,01-2026,6100,69533.42
001,01-2026,6101,104297.01
001,01-2026,6102,88096.7
001,01-2026,6103,69939.98
001,01-2026,6104,87816.45
001,01-2026,6105,65135.7
001,01-2026,6106,128233.86
001,01-2026,6107,111900.47
001,01-2026,6200,81581.59
001,01-2026,6201,81661.92
001,01-2026,6202,73293.77
001,01-2026,6203,47462.5
001,01-2026,6204,70806.13
001,01-2026,6205,56174.7
001,01-2026,6206,40333.09
001,01-2026,6207,66510.3
001,01-2026,6300,111065.32
001,01-2026,6301,119460.85
001,01-2026,6302,114711.63
001,01-2026,6303,77695.41
001,01-2026,6304,94890.79
001,01-2026,6400,50451.73
001,01-2026,6401,48249.93
001,01-2026,6402,23648.18
001,01-2026,6403,50309.93
001,01-2026,6404,34469.82
001,01-2026,6500,37666.65
001,01-2026,6501,37205.21
001,01-2026,6502,57620.69
001,01-2026,6503,50077.19
001,01-2026,6504,24559.87
001,01-2026,6600,46135.09
001,01-2026,6601,44980.8
001,01-2026,6602,64231.31
001,01-2026,7000,150702.82
001,01-2026,7001,66529.16
001,01-2026,7002,93462.42
001,01-2026,7100,97704.66
001,01-2026,7101,212989.74
001,01-2026,7200,66518.47
001,01-2026,7201,39128.17
001,01-2026,7202,49700.55
001,01-2026,7300,44368.67
001,01-2026,7301,59196.13
001,01-2026,7400,67228.1
001,01-2026,7401,60831.72
001,01-2026,7402,79069.78
001,01-2026,7500,223516.39
001,01-2026,7501,104958.75
001,01-2026,7502,111215.52
001,01-2026,7503,181698.14
001,01-2026,7600,79472.99
001,01-2026,7601,75874.21
