entity_code,period,date,gl_account,vendor,description,department,amount
002,01-2026,2026-01-01,5104,Reservation Systems Partners,Invoice — Rooms Division Other Operating Expense,Rooms,12467.0
002,01-2026,2026-01-01,5404,TableSet Supply Co,Invoice — F&B Uniforms & Laundry,F&B,16627.94
002,01-2026,2026-01-02,6504,SkillUp Training Institute,HR services invoice — Staff Meals,HR,9618.81
002,01-2026,2026-01-02,7001,Group Management Services,Management fee accrual — Incentive Management Fee,Fixed Charges,12954.41
002,01-2026,2026-01-02,7300,Municipal Tax Authority,Property tax / license fee — Municipal Property Tax,Fixed Charges,17080.41
002,01-2026,2026-01-03,5003,Internal Payroll,Payroll run — Rooms Division Payroll Tax & Benefits,Rooms,56485.27
002,01-2026,2026-01-03,5304,Internal Payroll,Payroll run — F&B Temporary Labor,F&B,78094.03
002,01-2026,2026-01-03,5701,Business Services Nordic,Invoice — Business Center Operating Expense,Other Operated,9356.61
002,01-2026,2026-01-03,6001,Internal Payroll,Payroll run — Finance & Accounting Salaries,Administrative,25050.2
002,01-2026,2026-01-03,6105,Nordic Print & Signage,Marketing services invoice — Sales & Marketing Travel,Sales & Marketing,26010.36
002,01-2026,2026-01-03,6205,CoolFlow HVAC Services,"Maintenance contract charge — Furniture, Fixtures & Equipment Repairs",Property Operations,11007.95
002,01-2026,2026-01-03,6206,Nordic Facilities Services,Maintenance contract charge — HVAC Service Contracts,Property Operations,5269.1
002,01-2026,2026-01-03,6400,PMS Systems AB,Systems & telecom invoice — PMS & POS System Fees,IT,19792.09
002,01-2026,2026-01-03,6602,SecureNordic Services,Security services contract — CCTV Maintenance,Security,8576.81
002,01-2026,2026-01-03,7202,Nordic Property Insurers,Insurance premium — Business Interruption Insurance,Fixed Charges,77351.83
002,01-2026,2026-01-04,5000,Internal Payroll,Payroll run — Front Office Salaries,Rooms,92776.78
002,01-2026,2026-01-04,5401,Kitchen Equipment Services,Invoice — F&B Operating Supplies,F&B,10550.17
002,01-2026,2026-01-04,5501,Internal Payroll,Payroll run — Spa Reception Salaries,Spa & Wellness,20558.2
002,01-2026,2026-01-04,5601,Spa Retail Distributors,Invoice — Spa Retail Cost of Sales,Spa & Wellness,3727.33
002,01-2026,2026-01-04,5703,ParkTech Systems,Invoice — Gift Shop Cost of Sales,Other Operated,6126.72
002,01-2026,2026-01-04,6002,Office Plus Nordic,Professional services invoice — Professional Fees – Legal,Administrative,12273.53
002,01-2026,2026-01-04,6009,Baltic Audit & Assurance,Professional services invoice — Board & Owner Reporting Costs,Administrative,13949.83
002,01-2026,2026-01-04,6100,Internal Payroll,Payroll run — Sales Team Salaries,Sales & Marketing,27766.48
002,01-2026,2026-01-04,6101,Nordic Print & Signage,Marketing services invoice — Advertising & Media,Sales & Marketing,13882.82
002,01-2026,2026-01-04,6402,CloudHost Nordic,Systems & telecom invoice — Telecom & Internet,IT,4638.56
