entity_code,period,date,gl_account,vendor,description,department,amount
004,03-2026,2026-03-01,6400,PMS Systems AB,Systems & telecom invoice — PMS & POS System Fees,IT,27717.08
004,03-2026,2026-03-01,6403,PMS Systems AB,Systems & telecom invoice — Software Licenses,IT,9213.06
004,03-2026,2026-03-02,5204,Urban Produce Co,Food & beverage supply delivery — F&B Waste & Spoilage,F&B,48965.34
004,03-2026,2026-03-02,6002,Office Plus Nordic,Professional services invoice — Professional Fees – Legal,Administrative,22388.18
004,03-2026,2026-03-02,6104,Nordic PR Partners,Marketing services invoice — Loyalty Program Costs,Sales & Marketing,24048.34
004,03-2026,2026-03-02,7301,Municipal Tax Authority,Property tax / license fee — Business Licenses & Permits,Fixed Charges,10848.02
004,03-2026,2026-03-02,7401,Property Holdings Lease Co,Lease payment — Equipment Lease,Fixed Charges,16706.35
004,03-2026,2026-03-02,7402,Property Holdings Lease Co,Lease payment — Vehicle Lease,Fixed Charges,43430.2
004,03-2026,2026-03-03,6103,Nordic Print & Signage,Marketing services invoice — Public Relations,Sales & Marketing,19152.91
004,03-2026,2026-03-03,7201,Nordic Property Insurers,Insurance premium — General Liability Insurance,Fixed Charges,10668.64
004,03-2026,2026-03-04,5400,Kitchen Equipment Services,"Invoice — China, Glass & Silver",F&B,9140.37
004,03-2026,2026-03-04,5702,Business Services Nordic,Invoice — Laundry & Valet Operating Expense,Other Operated,8617.16
004,03-2026,2026-03-04,6001,Internal Payroll,Payroll run — Finance & Accounting Salaries,Administrative,30462.77
004,03-2026,2026-03-04,6107,Scandinavian Media Group,Marketing services invoice — Website & Photography,Sales & Marketing,61287.38
004,03-2026,2026-03-04,6500,Nordic Recruitment Partners,HR services invoice — Recruitment Costs,HR,10318.17
004,03-2026,2026-03-04,6501,SkillUp Training Institute,HR services invoice — Staff Training & Development,HR,10191.76
004,03-2026,2026-03-04,6503,Nordic Recruitment Partners,HR services invoice — HR Administration,HR,13717.84
004,03-2026,2026-03-05,5401,TableSet Supply Co,Invoice — F&B Operating Supplies,F&B,9964.44
004,03-2026,2026-03-05,6006,Baltic Audit & Assurance,Professional services invoice — Office Supplies & Postage,Administrative,18307.79
004,03-2026,2026-03-05,6204,CoolFlow HVAC Services,Maintenance contract charge — Maintenance Supplies,Property Operations,13093.01
004,03-2026,2026-03-05,7002,Group Management Services,Management fee accrual — Central Reservation System Fee,Fixed Charges,25557.36
004,03-2026,2026-03-05,7300,Municipal Tax Authority,Property tax / license fee — Municipal Property Tax,Fixed Charges,8130.81
004,03-2026,2026-03-06,5003,Internal Payroll,Payroll run — Rooms Division Payroll Tax & Benefits,Rooms,78082.12
004,03-2026,2026-03-06,5202,Fresh Fjord Seafood,Food & beverage supply delivery — Banquet Cost of Sales,F&B,43886.18
004,03-2026,2026-03-06,5304,Internal Payroll,Payroll run — F&B Temporary Labor,F&B,104584.67
004,03-2026,2026-03-06,5600,Spa Retail Distributors,Invoice — Spa Operating Supplies,Spa & Wellness,8342.16
004,03-2026,2026-03-06,5601,Wellness Supply Nordic,Invoice — Spa Retail Cost of Sales,Spa & Wellness,3526.31
004,03-2026,2026-03-06,6204,GreenScape Landscaping,Maintenance contract charge — Maintenance Supplies,Property Operations,13093.01
004,03-2026,2026-03-06,6403,TeleNordic Communications,Systems & telecom invoice — Software Licenses,IT,9213.06
004,03-2026,2026-03-07,5103,CleanPro Contract Services,Invoice — Rooms Division Contract Cleaning,Rooms,25120.52
004,03-2026,2026-03-07,5400,Nordic Uniform & Linen,"Invoice — China, Glass & Silver",F&B,9140.38
004,03-2026,2026-03-07,5401,Nordic Uniform & Linen,Invoice — F&B Operating Supplies,F&B,9964.43
004,03-2026,2026-03-07,6004,Nordic Payments Processing,Professional services invoice — Bank Charges & Merchant Fees,Administrative,15376.6
004,03-2026,2026-03-07,6203,CoolFlow HVAC Services,Maintenance contract charge — Elevator & Life Safety Contracts,Property Operations,8776.46
004,03-2026,2026-03-07,6206,CoolFlow HVAC Services,Maintenance contract charge — HVAC Service Contracts,Property Operations,11187.2
004,03-2026,2026-03-08,5703,Business Services Nordic,Invoice — Gift Shop Cost of Sales,Other Operated,16430.37
004,03-2026,2026-03-08,6201,Nordic Facilities Services,Maintenance contract charge — Building Repairs & Maintenance,Property Operations,15100.39
004,03-2026,2026-03-08,6301,Copenhagen Varme A/S,Monthly utility invoice — District Heating,Property Operations,21662.61
004,03-2026,2026-03-08,6404,PMS Systems AB,Systems & telecom invoice — Guest Wi-Fi Infrastructure,IT,6312.32
004,03-2026,2026-03-08,6501,SkillUp Training Institute,HR services invoice — Staff Training & Development,HR,10191.77
004,03-2026,2026-03-09,5300,Internal Payroll,Payroll run — Kitchen Salaries,F&B,89660.98
004,03-2026,2026-03-09,6007,Nordic Payments Processing,Professional services invoice — General Admin Other,Administrative,15072.27
004,03-2026,2026-03-09,6104,Scandinavian Media Group,Marketing services invoice — Loyalty Program Costs,Sales & Marketing,24048.34
004,03-2026,2026-03-09,6500,SkillUp Training Institute,HR services invoice — Recruitment Costs,HR,10318.17
004,03-2026,2026-03-09,6504,Nordic Recruitment Partners,HR services invoice — Staff Meals,HR,4485.19
004,03-2026,2026-03-09,7200,Nordic Property Insurers,Insurance premium — Property Insurance,Fixed Charges,12091.23
004,03-2026,2026-03-09,7201,Nordic Property Insurers,Insurance premium — General Liability Insurance,Fixed Charges,10668.63
004,03-2026,2026-03-09,7400,Property Holdings Lease Co,Lease payment — Land Lease,Fixed Charges,18462.99
004,03-2026,2026-03-10,6206,ElevateTech Elevator Co,Maintenance contract charge — HVAC Service Contracts,Property Operations,11187.2
004,03-2026,2026-03-10,7400,Property Holdings Lease Co,Lease payment — Land Lease,Fixed Charges,18463.0
004,03-2026,2026-03-11,5101,Reservation Systems Partners,Invoice — Linen & Laundry,Rooms,26349.7
004,03-2026,2026-03-11,5105,Nordic Linen Services,Invoice — Uniforms – Rooms Division,Rooms,53839.52
004,03-2026,2026-03-11,5204,Nordic Food Distributors AS,Food & beverage supply delivery — F&B Waste & Spoilage,F&B,48965.33
004,03-2026,2026-03-11,5601,Wellness Supply Nordic,Invoice — Spa Retail Cost of Sales,Spa & Wellness,3526.32
004,03-2026,2026-03-11,6007,Baltic Audit & Assurance,Professional services invoice — General Admin Other,Administrative,15072.26
004,03-2026,2026-03-11,6200,Internal Payroll,Payroll run — Engineering Salaries,Property Operations,45256.61
004,03-2026,2026-03-11,7000,Group Management Services,Management fee accrual — Base Management Fee,Fixed Charges,27473.19
004,03-2026,2026-03-12,5001,Internal Payroll,Payroll run — Housekeeping Salaries,Rooms,119305.57
004,03-2026,2026-03-12,5403,Kitchen Equipment Services,Invoice — F&B Other Operating Expense,F&B,25939.81
004,03-2026,2026-03-12,5501,Internal Payroll,Payroll run — Spa Reception Salaries,Spa & Wellness,29947.63
004,03-2026,2026-03-12,6008,Nordheim Legal Partners,Professional services invoice — IT & Admin Travel,Administrative,27557.9
004,03-2026,2026-03-12,6100,Internal Payroll,Payroll run — Sales Team Salaries,Sales & Marketing,38083.15
004,03-2026,2026-03-12,6105,Nordic Print & Signage,Marketing services invoice — Sales & Marketing Travel,Sales & Marketing,17837.27
004,03-2026,2026-03-13,5400,TableSet Supply Co,"Invoice — China, Glass & Silver",F&B,9140.38
