entity_code,period,date,gl_account,vendor,description,department,amount
003,01-2026,2026-01-01,6105,Nordic Print & Signage,Marketing services invoice — Sales & Marketing Travel,Sales & Marketing,6099.4
003,01-2026,2026-01-01,6106,BookingBridge OTA Services,Marketing services invoice — Trade Show & Sponsorship Costs,Sales & Marketing,8005.34
003,01-2026,2026-01-01,6207,ElevateTech Elevator Co,Maintenance contract charge — Pest Control,Property Operations,3976.91
003,01-2026,2026-01-01,6400,CloudHost Nordic,Systems & telecom invoice — PMS & POS System Fees,IT,2961.27
003,01-2026,2026-01-01,6402,TeleNordic Communications,Systems & telecom invoice — Telecom & Internet,IT,2082.05
003,01-2026,2026-01-01,6600,SecureNordic Services,Security services contract — Security Staff & Contracts,Security,2944.66
003,01-2026,2026-01-01,6600,SecureNordic Services,Security services contract — Security Staff & Contracts,Security,2944.66
003,01-2026,2026-01-02,5203,Fresh Fjord Seafood,Food & beverage supply delivery — F&B Inventory Adjustment,F&B,5260.62
003,01-2026,2026-01-02,5204,Nordic Food Distributors AS,Food & beverage supply delivery — F&B Waste & Spoilage,F&B,4429.25
003,01-2026,2026-01-02,5404,Kitchen Equipment Services,Invoice — F&B Uniforms & Laundry,F&B,2515.17
003,01-2026,2026-01-02,6105,Nordic PR Partners,Marketing services invoice — Sales & Marketing Travel,Sales & Marketing,6099.41
003,01-2026,2026-01-02,6205,GreenScape Landscaping,"Maintenance contract charge — Furniture, Fixtures & Equipment Repairs",Property Operations,10076.71
003,01-2026,2026-01-02,6206,Nordic Facilities Services,Maintenance contract charge — HVAC Service Contracts,Property Operations,3617.51
003,01-2026,2026-01-02,6502,Nordic Recruitment Partners,HR services invoice — Employee Welfare & Uniforms,HR,3698.17
003,01-2026,2026-01-02,7202,Nordic Property Insurers,Insurance premium — Business Interruption Insurance,Fixed Charges,35846.05
003,01-2026,2026-01-03,5101,Nordic Linen Services,Invoice — Linen & Laundry,Rooms,4028.62
003,01-2026,2026-01-03,6001,Internal Payroll,Payroll run — Finance & Accounting Salaries,Administrative,11540.44
003,01-2026,2026-01-03,6302,Nordic District Heating,Monthly utility invoice — Water & Sewer,Property Operations,20227.02
003,01-2026,2026-01-03,6303,Nordic District Heating,Monthly utility invoice — Waste & Recycling,Property Operations,13699.97
003,01-2026,2026-01-03,7002,Group Management Services,Management fee accrual — Central Reservation System Fee,Fixed Charges,8562.1
003,01-2026,2026-01-04,5202,Urban Produce Co,Food & beverage supply delivery — Banquet Cost of Sales,F&B,3969.8
003,01-2026,2026-01-04,5400,Nordic Uniform & Linen,"Invoice — China, Glass & Silver",F&B,2195.79
003,01-2026,2026-01-04,6002,Nordic Payments Processing,Professional services invoice — Professional Fees – Legal,Administrative,16962.96
003,01-2026,2026-01-04,6007,Baltic Audit & Assurance,Professional services invoice — General Admin Other,Administrative,8564.9
003,01-2026,2026-01-05,5002,Internal Payroll,Payroll run — Rooms Division Overtime,Rooms,33652.2
003,01-2026,2026-01-05,5105,Reservation Systems Partners,Invoice — Uniforms – Rooms Division,Rooms,8231.56
003,01-2026,2026-01-05,5200,Fresh Fjord Seafood,Food & beverage supply delivery — Food Cost of Sales,F&B,3496.37
003,01-2026,2026-01-05,6203,CoolFlow HVAC Services,Maintenance contract charge — Elevator & Life Safety Contracts,Property Operations,4256.95
003,01-2026,2026-01-05,6203,GreenScape Landscaping,Maintenance contract charge — Elevator & Life Safety Contracts,Property Operations,4256.95
003,01-2026,2026-01-05,6301,Stockholm Energi AB,Monthly utility invoice — District Heating,Property Operations,7021.48
003,01-2026,2026-01-05,7201,Nordic Property Insurers,Insurance premium — General Liability Insurance,Fixed Charges,84662.47
003,01-2026,2026-01-06,5101,Nordic Linen Services,Invoice — Linen & Laundry,Rooms,4028.63
003,01-2026,2026-01-06,5103,Nordic Linen Services,Invoice — Rooms Division Contract Cleaning,Rooms,7681.39
003,01-2026,2026-01-06,5300,Internal Payroll,Payroll run — Kitchen Salaries,F&B,14579.74
003,01-2026,2026-01-06,6601,SecureNordic Services,Security services contract — Security Systems & Monitoring,Security,2870.98
003,01-2026,2026-01-06,7202,Nordic Property Insurers,Insurance premium — Business Interruption Insurance,Fixed Charges,35846.05
003,01-2026,2026-01-07,5001,Internal Payroll,Payroll run — Housekeeping Salaries,Rooms,50987.89
003,01-2026,2026-01-07,5202,Nordic Food Distributors AS,Food & beverage supply delivery — Banquet Cost of Sales,F&B,3969.81
003,01-2026,2026-01-07,5303,Internal Payroll,Payroll run — F&B Payroll Tax & Benefits,F&B,20181.44
003,01-2026,2026-01-07,6403,PMS Systems AB,Systems & telecom invoice — Software Licenses,IT,4429.42
003,01-2026,2026-01-07,6404,TeleNordic Communications,Systems & telecom invoice — Guest Wi-Fi Infrastructure,IT,6069.63
003,01-2026,2026-01-07,6602,SecureNordic Services,Security services contract — CCTV Maintenance,Security,4099.69
003,01-2026,2026-01-08,5204,Urban Produce Co,Food & beverage supply delivery — F&B Waste & Spoilage,F&B,4429.25
003,01-2026,2026-01-09,5202,Baltic Beverage Supply,Food & beverage supply delivery — Banquet Cost of Sales,F&B,3969.81
003,01-2026,2026-01-09,7101,Group Brand Licensing Corp,Brand franchise fee accrual — Brand Marketing Assessment Fee,Fixed Charges,13253.06
