entity_code,period,gl_account,amount
004,02-2026,4000,291240.05
004,02-2026,4001,394866.55
004,02-2026,4002,275586.34
004,02-2026,4003,634234.7
004,02-2026,4004,658692.13
004,02-2026,4005,430042.38
004,02-2026,4006,639246.28
004,02-2026,4100,241700.17
004,02-2026,4101,337578.94
004,02-2026,4102,201230.78
004,02-2026,4103,270566.35
004,02-2026,4104,230421.15
004,02-2026,4105,266669.88
004,02-2026,4200,77945.9
004,02-2026,4201,77809.03
004,02-2026,4202,46480.67
004,02-2026,4203,53375.99
004,02-2026,4300,35790.92
004,02-2026,4301,41878.21
004,02-2026,4302,38964.9
004,02-2026,4303,39804.04
004,02-2026,4400,10559.36
004,02-2026,4401,19739.47
004,02-2026,4402,19014.57
004,02-2026,4403,15097.0
004,02-2026,5000,131087.1
004,02-2026,5001,121945.28
004,02-2026,5002,80484.36
004,02-2026,5003,79809.74
004,02-2026,5004,127844.14
004,02-2026,5005,111305.33
004,02-2026,5100,40348.28
004,02-2026,5101,25949.39
004,02-2026,5102,57839.58
004,02-2026,5103,49477.74
004,02-2026,5104,51356.49
004,02-2026,5105,53021.56
004,02-2026,5200,70248.95
004,02-2026,5201,95326.18
004,02-2026,5202,79761.09
004,02-2026,5203,105695.99
004,02-2026,5204,88992.22
004,02-2026,5300,85608.61
004,02-2026,5301,108107.51
004,02-2026,5302,114076.49
004,02-2026,5303,118500.42
004,02-2026,5304,99857.8
004,02-2026,5400,27487.55
004,02-2026,5401,29965.72
004,02-2026,5402,27614.15
004,02-2026,5403,26002.65
004,02-2026,5404,47228.46
004,02-2026,5500,21429.26
004,02-2026,5501,28608.28
004,02-2026,5502,31933.35
004,02-2026,5600,15222.68
004,02-2026,5601,9652.16
004,02-2026,5602,13790.7
004,02-2026,5700,10551.84
004,02-2026,5701,21889.69
004,02-2026,5702,15034.75
004,02-2026,5703,14333.4
004,02-2026,6000,44777.45
004,02-2026,6001,29556.01
004,02-2026,6002,43443.53
004,02-2026,6003,31403.7
004,02-2026,6004,44756.68
004,02-2026,6005,57500.24
004,02-2026,6006,53288.52
004,02-2026,6007,43870.85
004,02-2026,6008,53475.2
004,02-2026,6009,32918.01
004,02-2026,6100,36422.96
004,02-2026,6101,54632.8
004,02-2026,6102,46146.77
004,02-2026,6103,36635.92
004,02-2026,6104,45999.97
004,02-2026,6105,34119.35
004,02-2026,6106,67171.39
004,02-2026,6107,58615.64
004,02-2026,6200,41858.64
004,02-2026,6201,41899.86
004,02-2026,6202,37606.25
004,02-2026,6203,24352.5
004,02-2026,6204,36329.86
004,02-2026,6205,28822.63
004,02-2026,6206,20694.47
004,02-2026,6207,34125.72
004,02-2026,6300,57973.38
004,02-2026,6301,62355.64
004,02-2026,6302,59876.66
004,02-2026,6303,40555.1
004,02-2026,6304,49530.67
004,02-2026,6400,25372.47
004,02-2026,6401,24265.17
004,02-2026,6402,11892.81
004,02-2026,6403,25301.16
004,02-2026,6404,17335.08
004,02-2026,6500,19407.59
004,02-2026,6501,19169.83
004,02-2026,6502,29688.83
004,02-2026,6503,25802.07
004,02-2026,6504,12654.37
004,02-2026,6600,24386.57
004,02-2026,6601,23776.42
004,02-2026,6602,33952.06
004,02-2026,7000,77466.3
004,02-2026,7001,34198.21
004,02-2026,7002,48042.81
004,02-2026,7100,50555.19
004,02-2026,7101,110206.98
004,02-2026,7200,34643.48
004,02-2026,7201,20378.34
004,02-2026,7202,25884.54
004,02-2026,7300,22780.26
004,02-2026,7301,30393.14
004,02-2026,7400,34973.71
004,02-2026,7401,31646.15
004,02-2026,7402,41134.04
004,02-2026,7500,117649.24
004,02-2026,7501,55245.69
004,02-2026,7502,58538.98
004,02-2026,7503,95637.95
004,02-2026,7600,40283.64
004,02-2026,7601,38459.47
