Category,Act,Act %,Budget,Budget %,Diff,Diff pp
Rooms Revenue,3212953.67,62.51,3164700.01,62.5,48253.66,0.01
F&B Revenue,1445845.57,28.13,1424115.01,28.13,21730.56,0.01
Spa & Wellness Revenue,256188.6,4.98,253176.0,5.0,3012.6,-0.02
Other Operated Departments Revenue,161116.56,3.13,158235.0,3.12,2881.56,0.01
Miscellaneous & Rental Income,63656.13,1.24,63294.0,1.25,362.13,-0.01
Total Revenue,5139760.53,100.0,5063520.02,100.0,76240.51,0.0
Rooms – Payroll & Related,575722.38,11.2,569646.0,11.25,6076.38,-0.05
Rooms – Other Expenses,256412.96,4.99,253176.01,5.0,3236.95,-0.01
F&B – Cost of Sales,431309.12,8.39,427234.5,8.44,4074.62,-0.05
F&B – Payroll & Related,506191.23,9.85,498440.25,9.84,7750.98,0.0
F&B – Other Expenses,143570.94,2.79,142411.5,2.81,1159.44,-0.02
Spa & Wellness – Payroll & Related,78072.71,1.52,75952.8,1.5,2119.91,0.02
Spa & Wellness – Other Expenses,39191.22,0.76,37976.4,0.75,1214.82,0.01
Other Operated Departments – Expenses,63196.57,1.23,63294.0,1.25,-97.43,-0.02
Total Departmental Expenses,2093667.13,40.73,2068131.46,40.84,25535.67,-0.11
Departmental Profit,3046093.4,59.27,2995388.56,59.16,50704.84,0.11
Administrative & General,479344.02,9.33,405081.61,8.0,74262.41,1.33
Sales & Marketing,359345.59,6.99,354446.4,7.0,4899.19,-0.01
Property Operations & Maintenance,257266.03,5.01,253176.0,5.0,4090.03,0.01
Utilities,261173.93,5.08,253176.0,5.0,7997.93,0.08
IT & Systems,102791.99,2.0,101270.41,2.0,1521.58,-0.0
Human Resources & Training,102596.47,2.0,101270.4,2.0,1326.07,-0.0
Security,77866.17,1.51,75952.8,1.5,1913.37,0.01
Total Undistributed Operating Expenses,1640384.2,31.92,1544373.62,30.5,96010.58,1.42
Gross Operating Profit (GOP),1405709.2,27.35,1451014.94,28.66,-45305.74,-1.31
Management Fees,154860.47,3.01,151905.6,3.0,2954.87,0.01
Franchise & Brand Fees,155485.4,3.03,151905.6,3.0,3579.8,0.03
Property & Liability Insurance,928518.03,18.07,75952.8,1.5,852565.23,16.57
Property Tax & Licenses,50609.2,0.98,50635.2,1.0,-26.0,-0.02
Rent / Lease,100928.27,1.96,101270.41,2.0,-342.14,-0.04
Total Fixed Charges,1390401.37,27.05,531669.61,10.5,858731.76,16.55
EBITDA,15307.83,0.3,919345.33,18.16,-904037.5,-17.86
Depreciation & Amortization,304603.44,5.93,303811.19,6.0,792.25,-0.07
EBIT,-289295.61,-5.63,615534.14,12.16,-904829.75,-17.78
Interest Expense,76167.32,1.48,75952.8,1.5,214.52,-0.02
Pre-tax Income,-365462.93,-7.11,539581.34,10.66,-905044.27,-17.77
