Category,Act,Act %,Budget,Budget %,Diff,Diff pp
Rooms Revenue,7231001.49,62.59,7335550.01,62.5,-104548.52,0.09
F&B Revenue,3233035.37,27.98,3300997.5,28.12,-67962.13,-0.14
Spa & Wellness Revenue,583277.93,5.05,586844.0,5.0,-3566.07,0.05
Other Operated Departments Revenue,360723.49,3.12,366777.51,3.13,-6054.02,-0.0
Miscellaneous & Rental Income,145162.08,1.26,146711.0,1.25,-1548.92,0.01
Total Revenue,11553200.36,100.0,11736880.02,100.0,-183679.66,0.0
Rooms – Payroll & Related,1326410.59,11.48,1320399.01,11.25,6011.58,0.23
Rooms – Other Expenses,582773.84,5.04,586844.0,5.0,-4070.16,0.04
F&B – Cost of Sales,968142.62,8.38,990299.24,8.44,-22156.62,-0.06
F&B – Payroll & Related,1145375.57,9.91,1155349.13,9.84,-9973.56,0.07
F&B – Other Expenses,324120.26,2.81,330099.75,2.81,-5979.49,-0.01
Spa & Wellness – Payroll & Related,175125.9,1.52,176053.2,1.5,-927.3,0.02
Spa & Wellness – Other Expenses,85340.38,0.74,88026.6,0.75,-2686.22,-0.01
Other Operated Departments – Expenses,142221.34,1.23,146710.99,1.25,-4489.65,-0.02
Total Departmental Expenses,4749510.5,41.11,4793781.92,40.84,-44271.42,0.27
Departmental Profit,6803689.86,58.89,6943098.1,59.16,-139408.24,-0.27
Administrative & General,922525.66,7.99,938950.41,8.0,-16424.75,-0.01
Sales & Marketing,811749.56,7.03,821581.6,7.0,-9832.04,0.03
Property Operations & Maintenance,576191.61,4.99,586844.0,5.0,-10652.39,-0.01
Utilities,788234.49,6.82,586844.0,5.0,201390.49,1.82
IT & Systems,233507.4,2.02,234737.6,2.0,-1230.2,0.02
Human Resources & Training,229975.92,1.99,234737.6,2.0,-4761.68,-0.01
Security,174854.11,1.51,176053.2,1.5,-1199.09,0.01
Total Undistributed Operating Expenses,3737038.75,32.35,3579748.41,30.5,157290.34,1.85
Gross Operating Profit (GOP),3066651.11,26.54,3363349.69,28.66,-296698.58,-2.11
Management Fees,347263.48,3.01,352106.4,3.0,-4842.92,0.01
Franchise & Brand Fees,345059.87,2.99,352106.4,3.0,-7046.53,-0.01
Property & Liability Insurance,175346.25,1.52,176053.2,1.5,-706.95,0.02
Property Tax & Licenses,117450.62,1.02,117368.8,1.0,81.82,0.02
Rent / Lease,234505.36,2.03,234737.61,2.0,-232.25,0.03
Total Fixed Charges,1219625.58,10.56,1232372.41,10.5,-12746.83,0.06
EBITDA,1847025.53,15.99,2130977.28,18.16,-283951.75,-2.17
Depreciation & Amortization,706176.61,6.11,704212.8,6.0,1963.81,0.11
EBIT,1140848.92,9.87,1426764.48,12.16,-285915.56,-2.28
Interest Expense,177017.58,1.53,176053.2,1.5,964.38,0.03
Pre-tax Income,963831.34,8.34,1250711.28,10.66,-286879.94,-2.31
