Category,Act,Act %,Budget,Budget %,Diff,Diff pp
Rooms Revenue,3417462.97,62.41,3449599.99,62.5,-32137.02,-0.09
F&B Revenue,1552227.28,28.34,1552320.0,28.13,-92.72,0.22
Spa & Wellness Revenue,270572.76,4.94,275968.0,5.0,-5395.24,-0.06
Other Operated Departments Revenue,168197.96,3.07,172480.0,3.13,-4282.04,-0.05
Miscellaneous & Rental Income,67782.34,1.24,68991.99,1.25,-1209.65,-0.01
Total Revenue,5476243.31,100.0,5519359.98,100.0,-43116.67,0.0
Rooms – Payroll & Related,629067.62,11.49,620928.01,11.25,8139.61,0.24
Rooms – Other Expenses,276502.14,5.05,275968.0,5.0,534.14,0.05
F&B – Cost of Sales,459545.74,8.39,465696.0,8.44,-6150.26,-0.05
F&B – Payroll & Related,539342.33,9.85,543312.0,9.84,-3969.67,0.01
F&B – Other Expenses,156095.45,2.85,155232.01,2.81,863.44,0.04
Spa & Wellness – Payroll & Related,82571.05,1.51,82790.4,1.5,-219.35,0.01
Spa & Wellness – Other Expenses,40671.61,0.74,41395.2,0.75,-723.59,-0.01
Other Operated Departments – Expenses,67073.4,1.22,68992.0,1.25,-1918.6,-0.03
Total Departmental Expenses,2250869.34,41.1,2254313.62,40.84,-3444.28,0.26
Departmental Profit,3225373.97,58.9,3265046.36,59.16,-39672.39,-0.26
Administrative & General,440040.0,8.04,441548.81,8.0,-1508.81,0.04
Sales & Marketing,384797.03,7.03,386355.2,7.0,-1558.17,0.03
Property Operations & Maintenance,273337.95,4.99,275968.0,5.0,-2630.05,-0.01
Utilities,274594.32,5.01,275968.0,5.0,-1373.68,0.01
IT & Systems,108759.27,1.99,110387.2,2.0,-1627.93,-0.01
Human Resources & Training,109457.14,2.0,110387.2,2.0,-930.06,-0.0
Security,82658.87,1.51,82790.4,1.5,-131.53,0.01
Total Undistributed Operating Expenses,1673644.58,30.56,1683404.81,30.5,-9760.23,0.06
Gross Operating Profit (GOP),1551729.39,28.34,1581641.55,28.66,-29912.16,-0.32
Management Fees,164082.86,3.0,165580.81,3.0,-1497.95,-0.0
Franchise & Brand Fees,164370.87,3.0,165580.8,3.0,-1209.93,0.0
Property & Liability Insurance,82860.4,1.51,82790.39,1.5,70.01,0.01
Property Tax & Licenses,55161.41,1.01,55193.6,1.0,-32.19,0.01
Rent / Lease,110468.02,2.02,110387.2,2.0,80.82,0.02
Total Fixed Charges,576943.56,10.54,579532.8,10.5,-2589.24,0.04
EBITDA,974785.83,17.8,1002108.75,18.16,-27322.92,-0.36
Depreciation & Amortization,331797.24,6.06,331161.6,6.0,635.64,0.06
EBIT,642988.59,11.74,670947.15,12.16,-27958.56,-0.41
Interest Expense,82637.16,1.51,82790.4,1.5,-153.24,0.01
Pre-tax Income,560351.43,10.23,588156.75,10.66,-27805.32,-0.42
