Category,Act,Act %,Budget,Budget %,Diff,Diff pp
Rooms Revenue,6469310.34,62.5,6472799.99,62.5,-3489.65,0.0
F&B Revenue,2906971.73,28.09,2912759.99,28.12,-5788.26,-0.04
Spa & Wellness Revenue,523655.65,5.06,517823.99,5.0,5831.66,0.06
Other Operated Departments Revenue,321755.51,3.11,323640.0,3.13,-1884.49,-0.02
Miscellaneous & Rental Income,128499.07,1.24,129456.0,1.25,-956.93,-0.01
Total Revenue,10350192.3,100.0,10356479.97,100.0,-6287.67,0.0
Rooms – Payroll & Related,1145924.11,11.07,1165104.0,11.25,-19179.89,-0.18
Rooms – Other Expenses,524792.72,5.07,517824.0,5.0,6968.72,0.07
F&B – Cost of Sales,875219.49,8.46,873828.01,8.44,1391.48,0.02
F&B – Payroll & Related,1012746.8,9.78,1019466.0,9.84,-6719.2,-0.06
F&B – Other Expenses,291892.47,2.82,291276.0,2.81,616.47,0.01
Spa & Wellness – Payroll & Related,157226.04,1.52,155347.2,1.5,1878.84,0.02
Spa & Wellness – Other Expenses,79262.66,0.77,77673.61,0.75,1589.05,0.02
Other Operated Departments – Expenses,129335.0,1.25,129456.0,1.25,-121.0,-0.0
Total Departmental Expenses,4216399.29,40.74,4229974.82,40.84,-13575.53,-0.11
Departmental Profit,6133793.01,59.26,6126505.15,59.16,7287.86,0.11
Administrative & General,938694.11,9.07,828518.4,8.0,110175.71,1.07
Sales & Marketing,726105.31,7.02,724953.59,7.0,1151.72,0.02
Property Operations & Maintenance,516004.03,4.99,517824.0,5.0,-1819.97,-0.01
Utilities,515841.66,4.98,517824.0,5.0,-1982.34,-0.02
IT & Systems,209006.91,2.02,207129.59,2.0,1877.32,0.02
Human Resources & Training,206165.46,1.99,207129.61,2.0,-964.15,-0.01
Security,155295.95,1.5,155347.2,1.5,-51.25,0.0
Total Undistributed Operating Expenses,3267113.43,31.57,3158726.39,30.5,108387.04,1.07
Gross Operating Profit (GOP),2866679.58,27.7,2967778.76,28.66,-101099.18,-0.96
Management Fees,308677.66,2.98,310694.4,3.0,-2016.74,-0.02
Franchise & Brand Fees,306622.42,2.96,310694.4,3.0,-4071.98,-0.04
Property & Liability Insurance,1849829.04,17.87,155347.19,1.5,1694481.85,16.37
Property Tax & Licenses,103488.71,1.0,103564.8,1.0,-76.09,-0.0
Rent / Lease,207962.67,2.01,207129.6,2.0,833.07,0.01
Total Fixed Charges,2776580.5,26.83,1087430.39,10.5,1689150.11,16.33
EBITDA,90099.08,0.87,1880348.37,18.16,-1790249.29,-17.29
Depreciation & Amortization,621191.12,6.0,621388.8,6.0,-197.68,0.0
EBIT,-531092.04,-5.13,1258959.57,12.16,-1790051.61,-17.29
Interest Expense,155412.99,1.5,155347.2,1.5,65.79,0.0
Pre-tax Income,-686505.03,-6.63,1103612.37,10.66,-1790117.4,-17.29
