Category,Act,Act %,Budget,Budget %,Diff,Diff pp
Rooms Revenue,1486614.88,82.6,1458250.0,82.64,28364.88,-0.04
F&B Revenue,223819.29,12.44,218737.5,12.4,5081.79,0.04
Spa & Wellness Revenue,0.0,0.0,0.0,0.0,0.0,0.0
Other Operated Departments Revenue,59652.91,3.31,58330.01,3.31,1322.9,0.01
Miscellaneous & Rental Income,29589.61,1.64,29164.99,1.65,424.62,-0.01
Total Revenue,1799676.69,100.0,1764482.5,100.0,35194.19,0.0
Rooms – Payroll & Related,265264.53,14.74,262485.0,14.88,2779.53,-0.14
Rooms – Other Expenses,119841.87,6.66,116660.0,6.61,3181.87,0.05
F&B – Cost of Sales,65753.63,3.65,65621.25,3.72,132.38,-0.07
F&B – Payroll & Related,79748.07,4.43,76558.13,4.34,3189.94,0.09
F&B – Other Expenses,22712.24,1.26,21873.75,1.24,838.49,0.02
Spa & Wellness – Payroll & Related,0.0,0.0,0.0,0.0,0.0,0.0
Spa & Wellness – Other Expenses,0.0,0.0,0.0,0.0,0.0,0.0
Other Operated Departments – Expenses,23531.69,1.31,23332.0,1.32,199.69,-0.01
Total Departmental Expenses,576852.03,32.05,566530.13,32.11,10321.9,-0.05
Departmental Profit,1222824.66,67.95,1197952.37,67.89,24872.29,0.05
Administrative & General,163577.15,9.09,141158.59,8.0,22418.56,1.09
Sales & Marketing,126615.47,7.04,123513.78,7.0,3101.69,0.04
Property Operations & Maintenance,81166.2,4.51,88224.13,5.0,-7057.93,-0.49
Utilities,89009.52,4.95,88224.11,5.0,785.41,-0.05
IT & Systems,32466.47,1.8,35289.65,2.0,-2823.18,-0.2
Human Resources & Training,36450.6,2.03,35289.66,2.0,1160.94,0.03
Security,27296.31,1.52,26467.23,1.5,829.08,0.02
Total Undistributed Operating Expenses,556581.72,30.93,538167.15,30.5,18414.57,0.43
Gross Operating Profit (GOP),666242.94,37.02,659785.22,37.39,6457.72,-0.37
Management Fees,53945.51,3.0,52934.47,3.0,1011.04,-0.0
Franchise & Brand Fees,54215.89,3.01,52934.48,3.0,1281.41,0.01
Property & Liability Insurance,321487.01,17.86,26467.24,1.5,295019.77,16.36
Property Tax & Licenses,17728.02,0.99,17644.82,1.0,83.2,-0.01
Rent / Lease,35285.92,1.96,35289.65,2.0,-3.73,-0.04
Total Fixed Charges,482662.35,26.82,185270.66,10.5,297391.69,16.32
EBITDA,183580.59,10.2,474514.56,26.89,-290933.97,-16.69
Depreciation & Amortization,105645.79,5.87,105868.94,6.0,-223.15,-0.13
EBIT,77934.8,4.33,368645.62,20.89,-290710.82,-16.56
Interest Expense,26559.38,1.48,26467.24,1.5,92.14,-0.02
Pre-tax Income,51375.42,2.85,342178.38,19.39,-290802.96,-16.54
