Category,Act,Act %,Budget,Budget %,Diff,Diff pp
Rooms Revenue,1404597.07,82.73,1388900.01,82.64,15697.06,0.08
F&B Revenue,208710.24,12.29,208335.0,12.4,375.24,-0.1
Spa & Wellness Revenue,0.0,0.0,0.0,0.0,0.0,0.0
Other Operated Departments Revenue,56460.27,3.33,55556.0,3.31,904.27,0.02
Miscellaneous & Rental Income,28063.33,1.65,27778.0,1.65,285.33,0.0
Total Revenue,1697830.91,100.0,1680569.01,100.0,17261.9,0.0
Rooms – Payroll & Related,252782.4,14.89,250002.02,14.88,2780.38,0.01
Rooms – Other Expenses,112556.86,6.63,111112.0,6.61,1444.86,0.02
F&B – Cost of Sales,62115.03,3.66,62500.5,3.72,-385.47,-0.06
F&B – Payroll & Related,73090.25,4.3,72917.24,4.34,173.01,-0.03
F&B – Other Expenses,20961.41,1.23,20833.51,1.24,127.9,-0.01
Spa & Wellness – Payroll & Related,0.0,0.0,0.0,0.0,0.0,0.0
Spa & Wellness – Other Expenses,0.0,0.0,0.0,0.0,0.0,0.0
Other Operated Departments – Expenses,22311.43,1.31,22222.41,1.32,89.02,-0.01
Total Departmental Expenses,543817.38,32.03,539587.68,32.11,4229.7,-0.08
Departmental Profit,1154013.53,67.97,1140981.33,67.89,13032.2,0.08
Administrative & General,135159.73,7.96,134445.51,8.0,714.22,-0.04
Sales & Marketing,119784.4,7.06,117639.83,7.0,2144.57,0.06
Property Operations & Maintenance,77306.17,4.55,84028.45,5.0,-6722.28,-0.45
Utilities,85114.47,5.01,84028.46,5.0,1086.01,0.01
IT & Systems,30922.47,1.82,33611.36,2.0,-2688.89,-0.18
Human Resources & Training,33879.0,2.0,33611.38,2.0,267.62,-0.0
Security,25254.52,1.49,25208.53,1.5,45.99,-0.01
Total Undistributed Operating Expenses,507420.76,29.89,512573.52,30.5,-5152.76,-0.61
Gross Operating Profit (GOP),646592.77,38.08,628407.81,37.39,18184.96,0.69
Management Fees,50677.14,2.98,50417.06,3.0,260.08,-0.02
Franchise & Brand Fees,51454.13,3.03,50417.07,3.0,1037.06,0.03
Property & Liability Insurance,25306.31,1.49,25208.54,1.5,97.77,-0.01
Property Tax & Licenses,16831.55,0.99,16805.69,1.0,25.86,-0.01
Rent / Lease,33527.8,1.97,33611.38,2.0,-83.58,-0.03
Total Fixed Charges,177796.93,10.47,176459.74,10.5,1337.19,-0.03
EBITDA,468795.84,27.61,451948.07,26.89,16847.77,0.72
Depreciation & Amortization,100782.15,5.94,100834.14,6.0,-51.99,-0.06
EBIT,368013.69,21.68,351113.93,20.89,16899.76,0.78
Interest Expense,25185.9,1.48,25208.54,1.5,-22.64,-0.02
Pre-tax Income,342827.79,20.19,325905.39,19.39,16922.4,0.8
