Category,Act,Act %,Budget,Budget %,Diff,Diff pp
Rooms Revenue,3530708.19,62.42,3546400.01,62.5,-15691.82,-0.08
F&B Revenue,1594255.89,28.19,1595879.99,28.12,-1624.1,0.06
Spa & Wellness Revenue,283751.34,5.02,283711.99,5.0,39.35,0.02
Other Operated Departments Revenue,176048.57,3.11,177320.0,3.13,-1271.43,-0.01
Miscellaneous & Rental Income,71277.78,1.26,70928.0,1.25,349.78,0.01
Total Revenue,5656041.77,100.0,5674239.99,100.0,-18198.22,0.0
Rooms – Payroll & Related,797940.01,14.11,638352.01,11.25,159588.0,2.86
Rooms – Other Expenses,282281.6,4.99,283712.01,5.0,-1430.41,-0.01
F&B – Cost of Sales,484220.85,8.56,478764.0,8.44,5456.85,0.12
F&B – Payroll & Related,551056.69,9.74,558558.01,9.84,-7501.32,-0.1
F&B – Other Expenses,157916.0,2.79,159588.0,2.81,-1672.0,-0.02
Spa & Wellness – Payroll & Related,85808.51,1.52,85113.59,1.5,694.92,0.02
Spa & Wellness – Other Expenses,42378.11,0.75,42556.8,0.75,-178.69,-0.0
Other Operated Departments – Expenses,70852.41,1.25,70927.99,1.25,-75.58,0.0
Total Departmental Expenses,2472454.18,43.71,2317572.41,40.84,154881.77,2.87
Departmental Profit,3183587.59,56.29,3356667.58,59.16,-173079.99,-2.87
Administrative & General,448335.49,7.93,453939.2,8.0,-5603.71,-0.07
Sales & Marketing,397053.85,7.02,397196.8,7.0,-142.95,0.02
Property Operations & Maintenance,287257.95,5.08,283712.0,5.0,3545.95,0.08
Utilities,281701.12,4.98,283711.99,5.0,-2010.87,-0.02
IT & Systems,113792.49,2.01,113484.81,2.0,307.68,0.01
Human Resources & Training,113479.62,2.01,113484.8,2.0,-5.18,0.01
Security,85455.25,1.51,85113.6,1.5,341.65,0.01
Total Undistributed Operating Expenses,1727075.77,30.54,1730643.2,30.5,-3567.43,0.04
Gross Operating Profit (GOP),1456511.82,25.75,1626024.38,28.66,-169512.56,-2.9
Management Fees,169919.17,3.0,170227.2,3.0,-308.03,0.0
Franchise & Brand Fees,170701.28,3.02,170227.2,3.0,474.08,0.02
Property & Liability Insurance,84713.52,1.5,85113.6,1.5,-400.08,-0.0
Property Tax & Licenses,56936.48,1.01,56742.4,1.0,194.08,0.01
Rent / Lease,113768.88,2.01,113484.8,2.0,284.08,0.01
Total Fixed Charges,596039.33,10.54,595795.2,10.5,244.13,0.04
EBITDA,860472.49,15.21,1030229.18,18.16,-169756.69,-2.94
Depreciation & Amortization,339275.76,6.0,340454.4,6.0,-1178.64,-0.0
EBIT,521196.73,9.21,689774.78,12.16,-168578.05,-2.94
Interest Expense,84699.96,1.5,85113.6,1.5,-413.64,-0.0
Pre-tax Income,436496.77,7.72,604661.18,10.66,-168164.41,-2.94
