Category,Act,Act %,Budget,Budget %,Diff,Diff pp
Rooms Revenue,2807299.27,62.52,2821250.01,62.5,-13950.74,0.02
F&B Revenue,1260697.79,28.07,1269562.51,28.13,-8864.72,-0.05
Spa & Wellness Revenue,224992.85,5.01,225699.99,5.0,-707.14,0.01
Other Operated Departments Revenue,141345.58,3.15,141062.5,3.12,283.08,0.02
Miscellaneous & Rental Income,56257.29,1.25,56424.99,1.25,-167.7,0.0
Total Revenue,4490592.78,100.0,4514000.0,100.0,-23407.22,0.0
Rooms – Payroll & Related,496428.36,11.05,507825.01,11.25,-11396.65,-0.2
Rooms – Other Expenses,226531.62,5.04,225700.0,5.0,831.62,0.04
F&B – Cost of Sales,374043.54,8.33,380868.75,8.44,-6825.21,-0.11
F&B – Payroll & Related,441335.09,9.83,444346.88,9.84,-3011.79,-0.02
F&B – Other Expenses,125373.01,2.79,126956.25,2.81,-1583.24,-0.02
Spa & Wellness – Payroll & Related,68350.1,1.52,67709.99,1.5,640.11,0.02
Spa & Wellness – Other Expenses,33501.41,0.75,33855.0,0.75,-353.59,-0.0
Other Operated Departments – Expenses,56179.9,1.25,56425.0,1.25,-245.1,0.0
Total Departmental Expenses,1821743.03,40.57,1843686.88,40.84,-21943.85,-0.28
Departmental Profit,2668849.75,59.43,2670313.12,59.16,-1463.37,0.28
Administrative & General,357962.48,7.97,361120.0,8.0,-3157.52,-0.03
Sales & Marketing,311421.27,6.93,315980.0,7.0,-4558.73,-0.07
Property Operations & Maintenance,225707.33,5.03,225700.02,5.0,7.31,0.03
Utilities,224367.64,5.0,225700.0,5.0,-1332.36,-0.0
IT & Systems,89977.74,2.0,90280.0,2.0,-302.26,0.0
Human Resources & Training,89373.12,1.99,90279.99,2.0,-906.87,-0.01
Security,67508.63,1.5,67710.0,1.5,-201.37,0.0
Total Undistributed Operating Expenses,1366318.21,30.43,1376770.01,30.5,-10451.8,-0.07
Gross Operating Profit (GOP),1302531.54,29.01,1293543.11,28.66,8988.43,0.35
Management Fees,133402.26,2.97,135420.0,3.0,-2017.74,-0.03
Franchise & Brand Fees,133040.31,2.96,135420.0,3.0,-2379.69,-0.04
Property & Liability Insurance,67503.48,1.5,67710.0,1.5,-206.52,0.0
Property Tax & Licenses,45188.33,1.01,45140.0,1.0,48.33,0.01
Rent / Lease,90251.18,2.01,90280.0,2.0,-28.82,0.01
Total Fixed Charges,469385.56,10.45,473970.0,10.5,-4584.44,-0.05
EBITDA,833145.98,18.55,819573.11,18.16,13572.87,0.4
Depreciation & Amortization,271564.09,6.05,270839.99,6.0,724.1,0.05
EBIT,561581.89,12.51,548733.12,12.16,12848.77,0.35
Interest Expense,67215.29,1.5,67710.0,1.5,-494.71,-0.0
Pre-tax Income,494366.6,11.01,481023.12,10.66,13343.48,0.35
