Category,Act,Act %,Budget,Budget %,Diff,Diff pp
Rooms Revenue,2375457.95,62.56,2352500.0,62.5,22957.95,0.06
F&B Revenue,1064606.94,28.04,1058625.0,28.12,5981.94,-0.09
Spa & Wellness Revenue,190156.99,5.01,188200.01,5.0,1956.98,0.01
Other Operated Departments Revenue,119768.95,3.15,117625.0,3.12,2143.95,0.03
Miscellaneous & Rental Income,47283.56,1.25,47050.0,1.25,233.56,-0.0
Total Revenue,3797274.39,100.0,3764000.01,100.0,33274.38,0.0
Rooms – Payroll & Related,429805.48,11.32,423450.01,11.25,6355.47,0.07
Rooms – Other Expenses,188730.9,4.97,188200.0,5.0,530.9,-0.03
F&B – Cost of Sales,444622.51,11.71,317587.51,8.44,127035.0,3.27
F&B – Payroll & Related,373925.98,9.85,370518.76,9.84,3407.22,0.0
F&B – Other Expenses,107312.28,2.83,105862.5,2.81,1449.78,0.01
Spa & Wellness – Payroll & Related,56423.21,1.49,56460.0,1.5,-36.79,-0.01
Spa & Wellness – Other Expenses,28298.83,0.75,28230.0,0.75,68.83,-0.0
Other Operated Departments – Expenses,48183.25,1.27,47050.01,1.25,1133.24,0.02
Total Departmental Expenses,1677302.44,44.17,1537358.79,40.84,139943.65,3.33
Departmental Profit,2119971.95,55.83,2226641.22,59.16,-106669.27,-3.33
Administrative & General,307648.79,8.1,301120.0,8.0,6528.79,0.1
Sales & Marketing,264431.51,6.96,263480.0,7.0,951.51,-0.04
Property Operations & Maintenance,188372.73,4.96,188200.01,5.0,172.72,-0.04
Utilities,187216.88,4.93,188200.0,5.0,-983.12,-0.07
IT & Systems,76658.72,2.02,75280.0,2.0,1378.72,0.02
Human Resources & Training,75590.29,1.99,75280.01,2.0,310.28,-0.01
Security,57446.99,1.51,56460.0,1.5,986.99,0.01
Total Undistributed Operating Expenses,1157365.91,30.48,1148020.02,30.5,9345.89,-0.02
Gross Operating Profit (GOP),962606.04,25.35,1078621.2,28.66,-116015.16,-3.31
Management Fees,113387.76,2.99,112920.0,3.0,467.76,-0.01
Franchise & Brand Fees,113476.09,2.99,112920.0,3.0,556.09,-0.01
Property & Liability Insurance,56668.52,1.49,56460.01,1.5,208.51,-0.01
Property Tax & Licenses,37543.77,0.99,37640.0,1.0,-96.23,-0.01
Rent / Lease,75337.44,1.98,75280.0,2.0,57.44,-0.02
Total Fixed Charges,396413.58,10.44,395220.01,10.5,1193.57,-0.06
EBITDA,566192.46,14.91,683401.19,18.16,-117208.73,-3.25
Depreciation & Amortization,225907.32,5.95,225840.0,6.0,67.32,-0.05
EBIT,340285.14,8.96,457561.19,12.16,-117276.05,-3.19
Interest Expense,56111.52,1.48,56460.0,1.5,-348.48,-0.02
Pre-tax Income,284173.62,7.48,401101.19,10.66,-116927.57,-3.17
