Category,Act,Act %,Budget,Budget %,Diff,Diff pp
Rooms Revenue,6191603.16,62.77,6139299.99,62.5,52303.17,0.27
F&B Revenue,2735776.63,27.73,2762685.0,28.12,-26908.37,-0.39
Spa & Wellness Revenue,498474.05,5.05,491144.01,5.0,7330.04,0.05
Other Operated Departments Revenue,314361.1,3.19,306965.01,3.13,7396.09,0.06
Miscellaneous & Rental Income,124179.31,1.26,122786.01,1.25,1393.3,0.01
Total Revenue,9864394.25,100.0,9822880.02,100.0,41514.23,0.0
Rooms – Payroll & Related,1120083.03,11.35,1105074.01,11.25,15009.02,0.1
Rooms – Other Expenses,495247.38,5.02,491144.0,5.0,4103.38,0.02
F&B – Cost of Sales,806720.71,8.18,828805.49,8.44,-22084.78,-0.26
F&B – Payroll & Related,948202.79,9.61,966939.74,9.84,-18736.95,-0.23
F&B – Other Expenses,271766.27,2.76,276268.51,2.81,-4502.24,-0.06
Spa & Wellness – Payroll & Related,148630.89,1.51,147343.2,1.5,1287.69,0.01
Spa & Wellness – Other Expenses,75018.01,0.76,73671.6,0.75,1346.41,0.01
Other Operated Departments – Expenses,126004.8,1.28,122786.0,1.25,3218.8,0.03
Total Departmental Expenses,3991673.88,40.47,4012032.55,40.84,-20358.67,-0.38
Departmental Profit,5872720.37,59.53,5810847.47,59.16,61872.9,0.38
Administrative & General,792829.28,8.04,785830.4,8.0,6998.88,0.04
Sales & Marketing,685037.41,6.94,687601.6,7.0,-2564.19,-0.06
Property Operations & Maintenance,493201.45,5.0,491143.99,5.0,2057.46,-0.0
Utilities,391068.27,3.96,491144.0,5.0,-100075.73,-1.04
IT & Systems,197360.84,2.0,196457.6,2.0,903.24,0.0
Human Resources & Training,198410.98,2.01,196457.6,2.0,1953.38,0.01
Security,148534.44,1.51,147343.2,1.5,1191.24,0.01
Total Undistributed Operating Expenses,2906442.67,29.46,2995978.39,30.5,-89535.72,-1.04
Gross Operating Profit (GOP),2966277.7,30.07,2814869.08,28.66,151408.62,1.41
Management Fees,292900.95,2.97,294686.41,3.0,-1785.46,-0.03
Franchise & Brand Fees,296213.97,3.0,294686.4,3.0,1527.57,0.0
Property & Liability Insurance,147280.5,1.49,147343.2,1.5,-62.7,-0.01
Property Tax & Licenses,98211.31,1.0,98228.8,1.0,-17.49,-0.0
Rent / Lease,196602.22,1.99,196457.61,2.0,144.61,-0.01
Total Fixed Charges,1031208.95,10.45,1031402.42,10.5,-193.47,-0.05
EBITDA,1935068.75,19.62,1783466.66,18.16,151602.09,1.46
Depreciation & Amortization,589953.92,5.98,589372.81,6.0,581.11,-0.02
EBIT,1345114.83,13.64,1194093.85,12.16,151020.98,1.48
Interest Expense,146934.05,1.49,147343.2,1.5,-409.15,-0.01
Pre-tax Income,1198180.78,12.15,1046750.65,10.66,151430.13,1.49
