Category,Act,Act %,Budget,Budget %,Diff,Diff pp
Rooms Revenue,1645880.65,82.77,1643500.0,82.64,2380.65,0.12
F&B Revenue,244363.69,12.29,246525.0,12.4,-2161.31,-0.11
Spa & Wellness Revenue,0.0,0.0,0.0,0.0,0.0,0.0
Other Operated Departments Revenue,65747.16,3.31,65740.0,3.31,7.16,0.0
Miscellaneous & Rental Income,32621.94,1.64,32870.0,1.65,-248.06,-0.01
Total Revenue,1988613.44,100.0,1988635.0,100.0,-21.56,0.0
Rooms – Payroll & Related,296471.45,14.91,295830.0,14.88,641.45,0.03
Rooms – Other Expenses,130944.46,6.58,131480.0,6.61,-535.54,-0.03
F&B – Cost of Sales,72906.47,3.67,73957.5,3.72,-1051.03,-0.05
F&B – Payroll & Related,86664.18,4.36,86283.75,4.34,380.43,0.02
F&B – Other Expenses,24137.23,1.21,24652.5,1.24,-515.27,-0.03
Spa & Wellness – Payroll & Related,0.0,0.0,0.0,0.0,0.0,0.0
Spa & Wellness – Other Expenses,0.0,0.0,0.0,0.0,0.0,0.0
Other Operated Departments – Expenses,26645.88,1.34,26296.0,1.32,349.88,0.02
Total Departmental Expenses,637769.67,32.07,638499.75,32.11,-730.08,-0.04
Departmental Profit,1350843.77,67.93,1350135.25,67.89,708.52,0.04
Administrative & General,158720.61,7.98,159090.8,8.0,-370.19,-0.02
Sales & Marketing,138396.62,6.96,139204.45,7.0,-807.83,-0.04
Property Operations & Maintenance,91477.21,4.6,99431.74,5.0,-7954.53,-0.4
Utilities,98569.78,4.96,99431.76,5.0,-861.98,-0.04
IT & Systems,36590.89,1.84,39772.7,2.0,-3181.81,-0.16
Human Resources & Training,39431.91,1.98,39772.7,2.0,-340.79,-0.02
Security,29948.99,1.51,29829.53,1.5,119.46,0.01
Total Undistributed Operating Expenses,593136.01,29.83,606533.68,30.5,-13397.67,-0.67
Gross Operating Profit (GOP),757707.76,38.1,743601.57,37.39,14106.19,0.71
Management Fees,59915.39,3.01,59659.05,3.0,256.34,0.01
Franchise & Brand Fees,60031.98,3.02,59659.05,3.0,372.93,0.02
Property & Liability Insurance,29917.02,1.5,29829.52,1.5,87.5,0.0
Property Tax & Licenses,19918.49,1.0,19886.35,1.0,32.14,0.0
Rent / Lease,39920.6,2.01,39772.7,2.0,147.9,0.01
Total Fixed Charges,209703.48,10.55,208806.67,10.5,896.81,0.05
EBITDA,548004.28,27.56,534794.9,26.89,13209.38,0.66
Depreciation & Amortization,119572.08,6.01,119318.09,6.0,253.99,0.01
EBIT,428432.2,21.54,415476.81,20.89,12955.39,0.65
Interest Expense,29854.98,1.5,29829.53,1.5,25.45,0.0
Pre-tax Income,398577.22,20.04,385647.28,19.39,12929.94,0.65
